Index	Account	Location	Gender	Rank	Follow	Follower	Weibo	FeedTime	GetTime	Type	Mid	Share	Comment	Good
0	"浅时光smile"	"山东枣庄"	female	Lv.9	175	129	86	"2018-12-15 22:03:00"	"2019-03-20 01:51:55"	feed	4317613062806738.0	0	0	0
1	"香港代购zara折扣pinko小ck"	"广东"	female	Lv.38	585	502405	14161	"2018-12-15 18:56:00"	"2019-03-20 01:52:16"	feed	4317566002517953.0	0	0	1
2	"周周福利社"	"浙江舟山"	female	Lv.28	2017	11166	300	"2018-12-15 16:36:00"	"2019-03-20 01:52:37"	feed	4317530677566537.0	0	0	0
3	"我-三岁半"	"北京"	female	Lv.9	187	62	122	"2018-12-15 15:04:00"	"2019-03-20 01:52:41"	feed	4317507437223036.0	0	1	0
4	"正品好货推荐"	"其他"	male	Lv.9	253	140	6	"2018-12-15 12:30:00"	"2019-03-20 01:53:02"	feed	4317468702452142.0	0	0	2
5	"巴黎草莓美妝"	"no location"	male	Lv.47	364	77964	10891	"2018-12-15 11:22:00"	"2019-03-20 01:53:20"	feed	4317451690660558.0	0	0	1
6	"喵喵酱在日本"	"海外日本"	female	Lv.40	368	4273	11640	"2018-12-15 11:08:00"	"2019-03-20 01:53:40"	feed	4317448200616376.0	0	0	0
7	"酷价淘宝优惠券"	"河北秦皇岛"	female	Lv.4	12	34	122	"2018-12-15 08:51:00"	"2019-03-20 01:54:01"	feed	4317413539396240.0	0	0	1
8	"专柜白菜秒杀菌"	"山东"	female	Lv.6	99	27	98	"2018-12-15 07:19:00"	"2019-03-20 01:54:19"	feed	4317390579827974.0	0	0	0
9	"白菜分享姐"	"山东"	female	Lv.6	66	16	68	"2018-12-15 07:19:00"	"2019-03-20 01:54:41"	feed	4317390387192392.0	0	0	1
10	"品牌秒杀菌"	"山东泰安"	female	Lv.9	301	128	233	"2018-12-15 07:16:00"	"2019-03-20 01:55:02"	feed	4317389787508022.0	0	0	1
11	"胖年糕大队长"	"浙江杭州"	female	Lv.45	402	579	5319	"2018-12-15 02:45:00"	"2019-03-20 01:55:17"	feed	4317321470273294.0	0	5	0
12	"我是买手Tina"	"江苏无锡"	female	Lv.14	858	883	294	"2018-12-14 23:14:00"	"2019-03-20 01:55:38"	feed	4317268458321499.0	0	0	1
13	"一只鹿香港代购海淘拼单"	"其他"	female	Lv.9	116	476	2147	"2018-12-14 18:24:00"	"2019-03-20 01:55:55"	feed	4317195410015376.0	0	0	0
14	"鱼妙婷正品香港代购"	"广东深圳"	female	Lv.46	3689	7738	34140	"2018-12-14 17:02:00"	"2019-03-20 01:55:57"	feed	4317174824878227.0	0	0	0
15	"天使百宝"	"香港中西区"	female	Lv.46	235	5941	36461	"2018-12-14 13:00:00"	"2019-03-20 01:56:17"	feed	4317113847512256.0	0	0	0
16	"喵喵酱在日本"	"海外日本"	female	Lv.40	368	4273	11640	"2018-12-14 10:49:00"	"2019-03-20 01:56:34"	feed	4317080914788808.0	0	0	0
17	"桃子老师的护肤彩妆店"	"海外法国"	female	Lv.48	704	9377	13982	"2018-12-14 02:51:00"	"2019-03-20 01:58:31"	feed	4316960588254999.0	0	0	0
18	"丽港彩妆"	"广东广州"	female	Lv.14	937	33003	1534	"2018-12-13 19:56:00"	"2019-03-20 01:58:52"	feed	4316856262929375.0	0	0	0
19	"国内外品牌护肤品化妆品"	"浙江"	female	Lv.9	977	229	2303	"2018-12-13 17:29:00"	"2019-03-20 01:59:10"	feed	4316819168248034.0	0	0	0
20	YIIMIKOO	"陕西西安"	female	Lv.4	73	1930	1060	"2018-12-13 16:26:00"	"2019-03-20 01:59:28"	feed	4316803281120181.0	0	0	0
21	YIIMIKOO	"陕西西安"	female	Lv.4	73	1930	1060	"2018-12-13 16:24:00"	"2019-03-20 01:59:49"	feed	4316802987241465.0	0	0	0
22	"MUJI-日亚-拼单日淘小小代购"	"其他"	female	Lv.47	1108	16249	11085	"2018-12-13 15:26:00"	"2019-03-20 02:00:09"	feed	4316788281575778.0	0	0	1
23	"黑家港货店"	"广东"	female	Lv.28	629	583	107	"2018-12-12 22:22:00"	"2019-03-20 02:00:21"	feed	4316530457855952.0	0	1	0
24	"种草囤货小菌"	"辽宁"	female	Lv.6	37	18	28	"2018-12-12 18:33:00"	"2019-03-20 02:00:27"	feed	4316472945836777.0	0	1	0
25	"兜兜家的欧尼"	"海外"	female	Lv.9	148	27337	2152	"2018-12-12 17:36:00"	"2019-03-20 02:00:34"	feed	4316458551466928.0	0	0	0
26	"威廉季_"	"广东广州"	male	Lv.19	223	326	266	"2018-12-12 17:04:00"	"2019-03-20 02:00:51"	feed	4316450522662743.0	0	0	0
27	"喵喵酱在日本"	"海外日本"	female	Lv.40	368	4273	11640	"2018-12-12 14:14:00"	"2019-03-20 02:00:53"	feed	4316407649336815.0	0	0	0
28	"枫_xu"	"江苏苏州"	female	Lv.11	142	336	1223	"2018-12-12 09:34:00"	"2019-03-20 02:01:01"	feed	4316337205800098.0	0	0	0
29	"啊雨好物分享"	"其他"	female	Lv.4	33	76	198	"2018-12-12 09:32:00"	"2019-03-20 02:01:06"	feed	4316336912011210.0	0	0	0
30	"大饼香港代购"	"香港其他"	female	Lv.14	151	11281	102	"2018-12-12 03:33:00"	"2019-03-20 02:01:09"	feed	4316246415865831.0	0	0	1
31	"山本未奈子"	"海外日本"	female	Lv.9	26	13500	544	"2018-12-11 21:43:00"	"2019-03-20 02:01:11"	feed	4316158347223691.0	0	0	1
32	"娟儿-澳门代购"	"广东深圳"	female	Lv.9	41	151	1283	"2018-12-11 19:14:00"	"2019-03-20 02:01:13"	feed	4316120968567929.0	0	0	0
33	"客家人-澳门代购"	"澳门其他"	female	Lv.14	39	219	2357	"2018-12-11 19:13:00"	"2019-03-20 02:01:16"	feed	4316120514739850.0	0	0	0
34	"嚣萌萌"	"北京"	female	Lv.39	484	374638	4316	"2018-12-11 13:44:00"	"2019-03-20 02:01:18"	feed	4316037811907633.0	1	9	23
35	"日本代购药妆奥尔滨pola美白丸"	"海外美国"	female	Lv.37	535	632685	25650	"2018-12-11 11:23:00"	"2019-03-20 02:02:09"	feed	4316002428252967.0	0	0	0
36	"-_君宝宝_-"	"海外韩国"	female	Lv.14	0	685	79	"2018-12-11 09:34:00"	"2019-03-20 02:02:11"	feed	4315974905555721.0	0	1	0
37	"思想没焦"	"广东深圳"	female	Lv.14	94	3715	139	"2018-12-11 04:26:00"	"2019-03-20 02:02:13"	feed	4315897335964779.0	0	0	0
38	"奶茶和咖啡是闺蜜"	"山东"	female	Lv.9	131	64	210	"2018-12-10 21:20:00"	"2019-03-20 02:02:29"	feed	4315790167973912.0	0	0	0
39	"火华火昱"	"其他"	female	Lv.4	33	82	416	"2018-12-10 19:51:00"	"2019-03-20 02:02:31"	feed	4315767916632579.0	0	0	0
40	"国内外品牌护肤品化妆品"	"浙江"	female	Lv.9	977	229	2303	"2018-12-10 19:00:00"	"2019-03-20 02:02:34"	feed	4315755073333041.0	0	0	0
41	"T杜杜潮鞋区"	"河南新乡"	female	Lv.14	220	94	209	"2018-12-10 13:43:00"	"2019-03-20 02:02:37"	feed	4315675142672762.0	0	0	0
42	L767797	"广东"	female	Lv.9	5	37	316	"2018-12-10 11:05:00"	"2019-03-20 02:02:40"	feed	4315635368006190.0	0	0	0
43	"天使百宝"	"香港中西区"	female	Lv.46	235	5941	36461	"2018-12-10 10:08:00"	"2019-03-20 02:02:42"	feed	4315621170218549.0	0	0	0
44	"天使百宝"	"香港中西区"	female	Lv.46	235	5941	36461	"2018-12-10 10:07:00"	"2019-03-20 02:02:44"	feed	4315620785316687.0	0	0	0
45	"得得港货"	"香港"	male	Lv.25	375	288	8460	"2018-12-10 01:42:00"	"2019-03-20 02:02:50"	feed	4315493630913430.0	0	0	0
46	"是屯爹也是仙女豚"	"北京海淀区"	female	Lv.4	66	12	23	"2018-12-09 22:09:00"	"2019-03-20 02:02:52"	feed	4315440132033821.0	0	1	0
47	"初初时尚全球购"	"河北唐山"	female	Lv.9	361	332	4999	"2018-12-09 18:49:00"	"2019-03-20 02:02:58"	feed	4315389771509017.0	0	0	1
48	"星星在香港"	"广东深圳"	female	Lv.41	234	1324	8249	"2018-12-09 18:20:00"	"2019-03-20 02:03:02"	feed	4315382456079717.0	0	0	0
49	"坤坤与雪琳是好朋友"	"其他"	female	Lv.9	22	32	193	"2018-12-09 17:02:00"	"2019-03-20 02:03:07"	feed	4315362784824347.0	0	0	0
50	"放心我不是正经代购"	"海外"	female	Lv.8	218	2129	122	"2018-12-09 16:19:00"	"2019-03-20 02:03:11"	feed	4315352005371724.0	0	0	0
51	"小小卖家201705"	"江苏"	female	Lv.2	64	7	61	"2018-12-09 14:21:00"	"2019-03-20 02:03:15"	feed	4315322364936998.0	0	0	0
52	"牛奶小草莓er_"	"江西南昌"	female	Lv.39	704	616	574	"2018-12-08 21:47:00"	"2019-03-20 02:03:21"	feed	4315072106792209.0	0	0	1
