Index	Account	Location	Gender	Rank	Follow	Follower	Weibo	FeedTime	GetTime	Type	Mid	Share	Comment	Good
0	lkjhgf6507003052	"海外"	female	Lv.4	35	16	22	"2019-02-28 19:37:00"	"2019-03-19 20:37:43"	feed	4344755301404930	0	0	0
1	"MGlam魅蓝"	"no location"	female	Lv.4	9	184	171	"2019-02-28 18:36:00"	"2019-03-19 20:37:46"	feed	4344739857503589	0	0	0
2	M-ontheBund	"no location"	male	Lv.16	27	3414	565	"2019-02-28 18:30:00"	"2019-03-19 20:37:50"	feed	4344738528425224	0	0	0
3	"小L专属空瓶记"	"其他"	female	Lv.4	2	11	37	"2019-02-28 17:47:00"	"2019-03-19 20:37:52"	feed	4344727530469526	0	0	0
4	"uCRobotics-威控睿博"	"no location"	female	Lv.30	1947	19468	1874	"2019-02-28 16:46:00"	"2019-03-19 20:37:56"	feed	4344712187827707	0	0	0
5	"uCRobotics-威控睿博"	"no location"	female	Lv.30	1947	19468	1874	"2019-02-28 16:42:00"	"2019-03-19 20:37:58"	feed	4344711349020678	0	0	0
6	GTGateway	"其他"	male	Lv.3	33	1	9	"2019-02-28 16:16:00"	"2019-03-19 20:38:02"	feed	4344704847787867	0	0	1
7	"XYZ智慧生活"	"no location"	male	Lv.39	46	830591	3632	"2019-02-28 12:40:00"	"2019-03-19 20:38:07"	feed	4344650254697741	110	43	110
8	"舞蹈团训练营"	"北京东城区"	female	Lv.4	1	33	6851	"2019-02-28 06:00:00"	"2019-03-19 20:38:11"	feed	4344549603553247	0	0	0
9	"毛毛喜欢毛毛雨丶"	"河南"	female	Lv.28	134	265	77	"2019-02-27 21:45:00"	"2019-03-19 20:38:16"	feed	4344425084084958	0	7	0
10	"铭源黄世宏"	"贵州"	male	Lv.9	614	147	115	"2019-02-27 15:50:00"	"2019-03-19 20:38:19"	feed	4344335786966323	0	0	0
11	"大妞日代-微信43891819"	"海外日本"	female	Lv.4	6	142	2164	"2019-02-27 12:20:00"	"2019-03-19 20:38:25"	feed	4344282993739825	0	0	0
12	"竹内柚子膏"	"其他"	female	Lv.23	177	209	865	"2019-02-27 09:00:00"	"2019-03-19 20:38:28"	feed	4344232703180316	0	2	1
13	"何晓乐HeXiaole"	"北京顺义区"	male	Lv.33	240	103874	3426	"2019-02-26 23:51:00"	"2019-03-19 20:38:33"	feed	4344094391541532	23	21	71
14	"亮译翻译与出国培训"	"no location"	male	Lv.31	1489	4544	3318	"2019-02-26 20:14:00"	"2019-03-19 20:38:36"	feed	4344039874551179	0	1	1
15	"禾潼今天还黑么"	"其他"	female	Lv.44	692	951	978	"2019-02-25 23:08:00"	"2019-03-19 20:38:40"	feed	4343967354935074	0	0	0
16	"布须曼鸟"	"上海黄浦区"	female	Lv.45	552	781	51461	"2019-02-25 23:08:00"	"2019-03-19 20:38:45"	feed	4343965035404726	1	0	0
17	momezz	"其他"	female	Lv.9	70	92	4636	"2019-02-25 23:08:00"	"2019-03-19 20:38:48"	feed	4343724136233393	0	0	0
18	"安安是只熊猫猫"	"上海黄浦区"	female	Lv.4	0	1	818	"2019-03-17 07:06:00"	"2019-03-19 20:40:05"	feed	4350726853337689	0	0	0
19	"林紫墨"	"重庆"	male	Lv.9	207	32	54	"2019-03-13 21:26:00"	"2019-03-19 20:40:09"	feed	4350623577551130	0	0	0
20	summerry_cicada	"湖北"	female	Lv.45	1280	1520	179	"2019-03-16 21:02:00"	"2019-03-19 20:40:12"	feed	4350574885100560	0	4	0
21	"明天开始不熬夜熬夜也不长痘"	"其他"	female	Lv.4	707	110	3038	"2019-03-16 20:30:00"	"2019-03-19 20:40:15"	feed	4350566882756197	0	0	0
22	"起舞动乾坤"	"北京"	female	Lv.4	1	28	6492	"2019-03-16 16:00:00"	"2019-03-19 20:40:18"	feed	4350498821510689	0	0	0
23	"红豆麻麻日本代GO"	"海外日本"	female	Lv.42	405	1589	13734	"2019-03-16 11:49:00"	"2019-03-19 20:40:21"	feed	4350435719025938	0	0	0
24	"超幸运Alana"	"北京西城区"	female	Lv.33	189	123	1627	"2019-03-16 11:01:00"	"2019-03-19 20:40:24"	feed	4350423676433652	0	1	0
25	"可达鹅叔"	"河北秦皇岛"	male	Lv.20	230	10381	213	"2019-03-16 09:29:00"	"2019-03-19 20:40:27"	feed	4350400477626017	0	0	0
26	"莹莹是球球"	"海外美国"	female	Lv.30	462	379	2424	"2019-03-16 05:49:00"	"2019-03-19 20:40:29"	feed	4350345024845790	0	0	0
