Index	Account	Location	Gender	Rank	Follow	Follower	Weibo	FeedTime	GetTime	Type	Mid	Share	Comment	Good
0	"阿森娜飞走啦"	"四川成都"	female	Lv.45	575	259810	2474	"2019-01-09 11:29:00"	"2019-03-20 11:40:26"	feed	4328838794744979	1	22	26
1	sophiafun	"广东广州"	female	Lv.48	468	327768	3011	"2019-01-09 11:29:00"	"2019-03-20 11:40:55"	feed	4328837607739181	2	1	1
2	"霓虹团Neon"	"海外"	female	Lv.43	560	198191	19992	"2016-08-28 16:24:00"	"2019-03-20 11:41:17"	feed	4328811027453883	0	0	0
3	"小惜糯米圆"	"安徽合肥"	female	Lv.48	666	1004	4088	"2019-01-15 18:52:00"	"2019-03-20 11:41:40"	feed	4328798960321957	0	18	30
4	"霓虹团Neon"	"海外"	female	Lv.43	560	198191	19992	"2018-12-20 20:10:00"	"2019-03-20 11:42:02"	feed	4328787430708098	3	0	1
5	"逆袭王妃"	"广东阳江"	female	Lv.9	78	149	2692	"2019-01-15 17:54:00"	"2019-03-20 11:42:23"	feed	4328784330588306	0	0	0
6	"请问绵绵在家吗"	"北京丰台区"	female	Lv.40	677	214	4533	"2019-01-15 15:08:00"	"2019-03-20 11:42:44"	feed	4328742468266249	0	0	0
7	"呦呦com"	"其他"	male	Lv.4	1	47	255	"2019-01-15 14:59:00"	"2019-03-20 11:43:00"	feed	4328740366345058	0	0	0
8	"呦呦com"	"其他"	male	Lv.4	1	47	255	"2019-01-15 14:49:00"	"2019-03-20 11:43:22"	feed	4328737699139578	0	0	0
9	"Darling0大零0"	"其他"	female	Lv.29	283	150	443	"2019-01-15 14:48:00"	"2019-03-20 11:43:45"	feed	4328737442873809	0	1	0
10	"卢宛芊"	"其他"	female	Lv.4	17	79	957	"2019-01-15 14:11:00"	"2019-03-20 11:44:05"	feed	4328728298788669	0	0	0
11	"小小清Gloria"	"浙江"	female	Lv.9	507	100	198	"2019-01-15 12:56:00"	"2019-03-20 11:44:38"	feed	4328709286371046	0	0	0
12	"白菜的券券"	"其他"	female	Lv.4	189	54	209	"2019-01-15 11:06:00"	"2019-03-20 11:45:00"	feed	4328681712939982	0	0	0
13	"海淘AWM"	"山东"	male	Lv.48	2357	7727	64733	"2019-01-15 10:29:00"	"2019-03-20 11:45:17"	feed	4328672208994725	0	0	0
14	"NCT沈月"	"四川"	female	Lv.4	74	28	97	"2019-01-15 10:24:00"	"2019-03-20 11:45:39"	feed	4328670963200422	0	0	0
15	"皮酱皮酱pipi"	"北京海淀区"	female	Lv.14	380	221	1931	"2019-01-15 09:35:00"	"2019-03-20 11:46:08"	feed	4328658694623384	0	1	0
16	"鲸歌小仙女日代铺子"	"海外日本"	female	Lv.4	168	58	308	"2019-01-15 08:45:00"	"2019-03-20 11:46:34"	feed	4328646132580679	0	0	0
17	Hazel_Making	"辽宁大连"	female	Lv.18	177	595	147	"2019-01-15 06:32:00"	"2019-03-20 11:46:54"	feed	4328612670477968	0	0	3
18	"艺兴的Angel"	"广东"	female	Lv.18	230	1224	474	"2019-01-14 21:28:00"	"2019-03-20 11:49:49"	feed	4328533360849643	0	0	0
19	"话唠小乖"	"北京"	female	Lv.9	109	69	1250	"2019-01-15 00:46:00"	"2019-03-20 11:50:10"	feed	4328525521198262	0	0	0
20	"请把Raf还给我"	"其他"	male	Lv.9	427	370	954	"2019-01-15 00:36:00"	"2019-03-20 11:50:31"	feed	4328525060134404	0	3	0
21	"秋花与春月"	"北京朝阳区"	female	Lv.9	407	95	483	"2019-01-15 00:18:00"	"2019-03-20 11:50:51"	feed	4328518681036710	0	0	0
22	"韋君寶貝0607"	"其他"	female	Lv.9	227	1633	8401	"2019-01-14 23:47:00"	"2019-03-20 11:51:13"	feed	4328510698966419	0	0	0
23	"渐渐退出微胖界"	"辽宁大连"	female	Lv.13	256	118	1536	"2019-01-14 23:21:00"	"2019-03-20 11:51:35"	feed	4328504248092748	0	0	0
24	"阿咻3月"	"江苏苏州"	female	Lv.34	1175	112	3400	"2019-01-14 22:55:00"	"2019-03-20 11:51:59"	feed	4328497784336928	0	2	0
25	"莯然一笑warm"	"江苏南京"	female	Lv.9	173	138	545	"2019-01-14 22:34:00"	"2019-03-20 11:52:19"	feed	4328492411900580	0	0	0
26	"蔡明骏的土豆x"	"广东"	female	Lv.37	338	332	15178	"2019-01-14 21:28:00"	"2019-03-20 11:52:38"	feed	4328475697220010	1387	433	351
27	"小孩的糖_"	"其他"	female	Lv.4	28	16	31	"2019-01-14 21:16:00"	"2019-03-20 11:53:01"	feed	4328472853706845	0	7	2
28	"毛毛北海道日本代购"	"海外日本"	female	Lv.48	1341	224319	104538	"2019-01-14 19:28:00"	"2019-03-20 11:53:21"	feed	4328445620162066	2	5	3
