,Title,Account,ID,Text
0,达人评测|花王Curel，让“满脸通红”的你说要！,屈臣氏官方订阅号,ab735a258a90e8e1-6bee54fcbd896b2a-e9d306504c0ffac558406a2d3e3e15ca,广告春天来辣，小编听说很多妹纸们这个季节脸都存在着过敏的现象这个时候小编特意去找了防过敏的护肤品珂润是花王旗下的药妆品牌专为干燥的敏感肌肤设计属于无添加的天然系护肤品接下来小编将要分享的是它家口碑产品宝贝们，接下来好好看着泡沫洁面正面绵密的泡沫按压式瓶口背面这款泡沫洁面是弱酸性的，无酒精、无香料、无色素，非常适合敏感肌。瓶口是按压式的，一按就出来绵密的泡沫，对于懒人来说真是再合适不过了。泡沫确实很丰盈，上脸温和，洗后没有紧绷干，还兼具保湿。小建议：干皮在不化妆的情况下可以把它当做晚间洁面，油皮还是把这个当晨间洁面比较好卸妆啫喱正面透明的质地瓶口设计背面接下来是它家最出名的卸妆啫喱，又名卸妆蜜。质地温和，易乳化，像日常的防晒、粉底、遮瑕膏、口红，它都能轻松卸除，对于日常妆来说足够了。不会闷痘，也没有油膜感，我个人非常喜欢3号滋润型化妆水正面纯液体质地瓶口设计背面珂润化妆水一共3个型号，我这个是3号滋润型，很适合偏干肤质，中性或偏油可以使用1号或2号。它是纯液体质地，上脸没有一点黏腻感，这种清爽的感觉超棒！面霜正面清爽型质地开盖侧面在平价面霜中我还是很推荐这款的，不油不腻，清清爽爽一层，用完皮肤很软很润，敏感肌不妨试试。最后，如果之前没用过这个产品的小宝贝们没用过可以先入手体验装以上就是小编为宝贝们找的福利珂润の评测希望宝贝们不要太喜欢小编我哦~~~本期作者：屈臣氏莴笋特约美妆达人毛毛酱moyi屈臣氏防晒霜低价大放送美白从防晒开始！领券立减35 全网底价20元将屈臣氏畅销防晒霜带走！下单还返5元无门槛优惠券哦~限时限量！快来扫描二维码或者点击阅读原文来抢吧！活动详情请以活动页面说明为准更多美妆小技巧更多精彩全面测评记得来关注 屈臣氏莴笋种草指南 哦~我们的美妆达人每天在这里发布很多新鲜全面的测评文哦~科学种草~浏览小屈更多产品优惠，请登录以下网络平台：官网商城：watsons.com.cn全球购 ：watsons.higoumall.com屈臣氏莴笋APP：在各大应用平台搜索 “屈臣氏莴笋”天猫旗舰店：watsons.tmall.com天猫屈臣氏海外旗舰店： watsonstw.tmall.hk京东旗舰店：watsons.jd.com亚马逊旗舰店：z.cn/watsons会员网站：vip.watsons.com.cn全国顾客服务热线：800 900 1380（固话可免费拨打）400 830 1310（自付市内话费）会员服务热线：020-9691 1122（非免费，话费按地区资费标准收取）客户服务电邮：customerservice@watsons.com.cn
1,报价|香港Curel珂润实拍报价,香港购物全书,ab735a258a90e8e1-6bee54fcbd896b2a-cc6c1106504ed41ae30a26c744a7dc8d,好多小姐姐在后台问Curel珂润！胖胖金都不知道珂润已经这么火啦一直以为只有面霜是爆款后来发现买其他产品的小姐姐也都不少哦珂润还是一个非常细心的牌子针对不同的肌肤出了不同的系列想要的小姐姐可以根据自己的肌肤情况买买买呀珂润的一系列产品 一起了解一下！放大名鼎鼎的珂润面霜镇楼！最近一直没有断货！算下来才140rmb左右一罐真的太实惠啦～没想到珂润还有这么多产品对不对！珂润对敏感肌也很友好呢～包装简单不做作全都是便宜大碗很抗用需要的小姐姐快到专柜囤货吧！珂润部分专柜地址：各大屈臣氏、万宁、sasa等均有售香港打折 / 优惠 / 报价 / 种草关注我们，分分钟省下10个亿给胖胖金点赞的人瘦成一道闪电↓↓↓
2,Curel丨日本开架的干敏皮亲妈！,msx蜜赏,ab735a258a90e8e1-6bee54fcbd896b2a-887a90ba398b085278b84f39defc0025,种草一时爽  剁手火葬场Curel是日本花王旗下专为敏感肌设计的品牌创始于1999年日本第一个干燥性敏感肌肤品牌听着好像很厉害的样子花王就是这个月亮脸花王是最早着眼于肌肤角质细胞间存在的脂质“Ceramide神经酰胺”的化妆品品牌珂润就灵活的将“神经酰胺”用于各个护肤品中从脸部、身体至头皮，给予肌肤365天全面细致的呵护今儿就讲一个大家比较熟悉的系列润浸保湿系列脸部护理卸妆啫哩130g，容量还可以。透明啫喱质地，有很微弱的清洁产品的气味。对于防晒隔离以及底妆能够非常彻底的清洁干净眼部彩妆卸除能力稍弱但仍优于皇后水等水状卸妆产品洗后脸部不会很干，不紧绷质地温和，主打适合干性敏感肌肤8为curel卸妆啫哩洁面泡沫150ml，这个有个130ml的替换装氨基酸洁面，泡沫压头设计，用起来很方便。白色无味泡沫很细腻，不算绵密的那种可以作为晨间洁面因为很温和，清洁力不会太强洗完没有膜感，油皮宝宝可能会觉得清洁力不够化妆水150mlⅠ号清爽，Ⅱ号标准，Ⅲ号滋润压头设计无色无味，不添加酒精质地清爽不黏腻不刺激上脸没什么负担如果正好是敏感期间的话用这个湿敷一下还蛮舒服的能舒缓皮肤敏感，泛红，不适的感觉乳液120ml这款不分清爽滋润同样不含酒精不含香料，压头设计白色无味乳液质地偏稀，很水润轻盈，延展性好乳液和化妆水都有神经酰胺和蓝桉叶提取物的成分能有效帮助护肤品的吸收提高皮肤的屏障能力从而达到抗敏效果油皮的话用到乳液就可以，后续不用加面霜了保湿面霜到我的常备面霜了40g塑料罐子，小小的一罐。白色乳霜质地质地非常温和，挺好推开的吸收也很好，但是用量比较费要挖好大一坨，保湿力度不错涂完之后感觉脸软软的干皮油皮都推荐，春夏秋冬都可以用除了用量费以外没缺点功课来自：@T-Toughcookie（原ID瞌睡界女王）保湿美容液40g美容液中也添加了神经酰胺成分加强皮肤抗衰老能力保持肌肤弹性、光滑另有蓝桉提取物，渗透至肌肤深处深度保持，改善干燥敏感肌肤在水后，乳液或面霜前使用眼部美容液20g清爽的啫哩质地不油腻，延展性好涂抹上之后没有负担感虽然是清爽质地的，但是保湿做的也很好能滋润眼周，抚平干燥及干纹适合混干或者干敏皮的宝宝润唇膏/有色润唇膏4.2g这款润唇膏也是很火，网评基本好用。平口无切面，上嘴有一点存在感比较适合唇部状态不好，易敏感的宝宝通过长效水润护唇配方紧缩唇部内部水润具有预防唇部干燥的功效针对角质层较薄的唇部添加了滋润成分，防止唇部不干裂另外这个就是有色的，有一点粉粉的颜色身体护理泡沫沐浴露480ml，替换装380ml直接压出来就是泡沫，和泡沫洁面一样。是专门为干燥性敏感肌设计的温和型保湿沐浴露含有神经酰胺成分能洗净汗水与污垢的同时还能起到滋润肌肤的作用弱酸性配方，低刺激，不给肌肤增加负担保湿沐浴露/洗澡巾420ml，替换装360ml这个就需要自己搓泡泡了泡沫很绵密为了避免手指和肌肤之间有过多的摩擦洗后不干，没有膜感它家还有洗澡巾可以打泡用，官方说是为了敏感皮而设计的消毒湿巾10包十片，代购这个的挺少的十几二十一包吧婴幼儿也能用的湿巾100%天然棉制，滋润清爽的擦拭感能保持皮肤清洁干爽保湿身体乳都是脸和全身都能使用的220ml（ボトル）、410ml（ポンプ）大瓶装是新出的深色盖子的是普通的220ml，去年新发的干燥性敏感肌用，弱酸性，无香料，无着色都含有神经酰胺和蓝桉叶提取物。容易均匀涂抹，用后感觉透彻滋润性质温和，婴儿幼嫩肌肤都适合使用90g（ジャー）、35g（チューブ）35g的长这样介于乳和霜之间的质地非常滋润，比脸部产品要滋润的多这个包装和面霜的包装还蛮像的买的时候要注意看一下，别买错了头皮护肤洗护白色盖子的是洗发水，蓝色盖子的是护发素。图上这两个是200ml的瓶子大容量的瓶子是有压嘴的弱酸性洗发水及护发素含有神经酰胺成分清洁头皮的同时滋润头皮还能有效去除头皮屑基本在一百上下每次我们家珂润面霜到的时候都要拿两个囤几个都不怕多！MSX蜜赏关注我们的都是宇宙无敌超级美少女↓ 点击进入微信商城
3,Curel珂润！每到春秋天都会被疯抢～平价又好用！,东京淘,ab735a258a90e8e1-6bee54fcbd896b2a-b5a37c1c37a1d48256f9e6457ebd56b4,"图文信息来自网络秋季是加剧皮肤干燥的季节，每当这个时候女生们最多提起的就是护肤问题比如肌肤干燥，出油、过敏、冒痘痘......说到秋季使用的护肤品相信不少MM都会选择补水保湿效果好的因为只有让肌肤吃饱水分才能够避免以上的这些问题说到日本保湿效果好的护肤品那就太多了比如药妆店的平价系列中MINON、碧柔、芙丽芳丝、薏仁水、肌研。。。都是保湿效果不错的产品但对于敏感肌的妹子来说秋季选择护肤品可不能大意一定要选择无添加、或者含100%植物成分不过，最推荐的还是敏感肌专用的护肤品今天，就给MM们介绍一下每当秋天，都会被疯抢的一个牌子▼▼▼Curel 珂润Curel是花王旗下专门针对干燥敏感肌人群研制的一款护肤品品牌再不给肌肤带来刺激的同时能够全面呵护干燥肌肤！别看它不属于专柜大牌护肤品牌但人家在药妆店里的人气可是无人能比尤其在秋冬干燥季节它可是敏感肌女生的大救星！下面就来看看Curel有哪些护肤好物吧！柔软啫喱状质地无需用力揉搓就可轻松涂抹开清爽不刺激不会给皮肤造成任何的负担泡沫持久丰盈彻底洁净汗水及油脂污垢同时保护肌肤内的天然保湿元素蕴含温和洁净成分不会对肌肤造成负担用后感觉舒爽水润有效预防干燥问题含有滋润成分蓝桉叶提取物可渗透至角质层内深度保湿调整肌肤不易受外部刺激影响光滑而充满滋润感这款乳液的滋润度很高配合化妆水使用保湿效果更好能够让肌肤充足喝饱水分彻底改善干燥问题从根本改善干燥敏感性肌肤醇厚滋润不黏腻有效缓解干燥及敏感症状能够充分渗透到角质层内保持丰盈弹润的滋润肌肤状态通过渗透角质层面膜配方修复皮肤薄弱的眼部角质层使眼部肌肤变得丰盈有光泽弱酸性，不含香料，色素及酒精真正无添加配方，纯物理防晒清爽易吸收的乳液型使用后肌肤保湿不干涩涂抹后无油腻感，透明不泛白解决了干燥性敏感肌肤的困扰秋冬季节唇部的保养同样重要这款润唇膏具有很好的保湿效果能够长时间保持唇部滋润有光泽温和清洁配方,有效洗净脏污有效保湿滋润，直达角质层深处减少肌肤压力，预防肌肤干燥有配合消炎剂有效成分【版权与免责声明】如发现内容存在版权问题，烦请提供相关信息，我们将及时沟通与处理。本站内容除非注明原创，否则均为网友转载，涉及言论、版权与本站无关。我们是一群长期生活在日本的男男女女，正在用亲身经历，告诉你一个真实的日本。东京淘平台 :DONGJING_tao欢迎各种合作，欢迎添加小编微信"
4,【curel珂润】盛夏美肌护理精选！全系列化妆水85折~,香港购物宝典,ab735a258a90e8e1-6bee54fcbd896b2a-92798ee812170371319ad2bc1966825c,【盛夏美肌护理精选】想喺阳光下明艳照人，就要做好防晒同埋晒后护理，助肌肤远离紫外光伤害。Curél呢两个星期带嚟一系列防晒滋润的精彩优惠，由8月18号至31号期间购买以下产品会有85折，拥有夏日美肌话都无咁易!活动时间：8月18号至31号1. 全系列化妆水85折2. 轻透清爽防晒护理系列85折左下角，您点一个小编工资涨1毛最新优惠情报..实拍SK-II、雅诗兰黛、科颜氏、资生堂等亚洲最低价▌图文编辑：香港购物宝典（hkgwbd）转载请注明来源▌商务合作：请加QQ 2355384715
5,I❤curel点滴生活与你同行！(7.31-8.5),Curel珂润,ab735a258a90e8e1-6bee54fcbd896b2a-9a1a8dc62e4d4a7a3d3b5e0cf29b19d9,拿起相机，记录下您身边与珂润有关的任何东西，可以是您用完的乳液空瓶，也可以是您在专柜留下的美丽倩影，亦或是不经意间在杂志上发现的珂润产品。拍下并分享到朋友圈，就有机会获得我们丰富的奖品哦！【活动主题】I ❤ curel 点滴生活 与你同行！【活动时间】2014年7月31日—2014年8月5日【参与方式】STEP1：拍下身边有关curel珂润的任何信息，将照片晒到朋友圈。STEP2：截图并发送给curel官方微信将有机会获得珂润控油保湿体验套装。【活动奖品】幸运奖1名：珂润控油保湿体验套装（价值128元） 参与奖5名：保湿卸妆啫喱6g+控油保湿水8ml+控油保湿啫喱7ml（价值21元）注意事项：* 活动期间请粉丝不要更改微信名和头像* 活动结束后，我们会在一周内微信统一公布中奖名单，由中奖用户私信我们联系方式，72小时内不提供联系方式的，视为放弃中奖。* 一切活动解释权归Curel珂润所有。欲知珂润产品的更多信息，请赶快上花王天猫官方旗舰店查看吧！花王(中国）官方旗舰店http://kao.tmall.com
6,Curel珂润入驻上海APITA啦！,Curel珂润,ab735a258a90e8e1-6bee54fcbd896b2a-4fdf2a7b123a8dddf64e59606ca9dc30,﻿Curel珂润入驻上海APITA啦！日系百货商店——上海金虹桥中心日本APITA是上海首家花园式日系购物中心，由日本第三大零售企业UNY创造，纯粹的日系血统掀起了一轮日系潮流旋风！简洁的专柜设计风格，日系品牌齐聚，在这里就能感受到纯正的东京街头feel哦~即日起到2月28日开店期间，只要你亲临专柜填写个人资料，即可得到一份珂润试用装3件套！还有新店福利促销，快来体验吧！购‍：滋养乳霜40g赠：洁颜泡沫90ml+卸妆啫喱30g（赠品价值93元）B、购：卸妆啫喱+化妆水+乳霜 444元赠：护体乳液220ml（赠品价值128元）购满288元赠：珂润洗发水200ml（赠品价值58元）上海市长宁区茅台路179号金光绿庭广场LG1（地铁2号线娄山关路）
7,curel/freeplus|乳液对比,饭饭哒,ab735a258a90e8e1-6bee54fcbd896b2a-e3443896640aa5656a852a9d20636364,    又要来说我的真爱了。老规矩，看到吐的旁友们还是一样把脸转过去不要再看了！   清爽不油腻是我最喜欢他的一点！这个质地很水润，易推易吸收，非常清爽！混油的我真的超级怕油，以前一度因为害怕油腻而不敢用乳液。自从遇到它之后，才开始了正常的护肤之路。   这个乳液有一号清爽型和二号滋润型可以选择，混油我建议一年四季用清爽型就足够了，我冬天用2号都觉得有点油腻。如果冬天觉得不够滋润可以再叠加一个清爽一点的面霜就好了！Curel 润浸保湿乳液   这个乳液质地比较稀，乳白色的，一抹化水的感觉，一样清爽水润的，上脸好吸收。滋润度和保湿度我觉得夏天来说也是足够的，保湿度我觉得比freeplus的要差一些，但总体来说还算不错。但是不知道为啥这只乳液不是太戳我心，可能对freeplus爱得太深沉，现在对乳液的要求都好严格哈哈哈！
8,拯救敏感肌Curel珂润！,东京淘,ab735a258a90e8e1-6bee54fcbd896b2a-0a72eaaf47f8e775c2dfd2a695eb9634,"图文信息来自网络春季，夏季皮肤面临更多考验，每当这个时候女生们最多提起的就是护肤问题比如肌肤干燥，出油、过敏、冒痘痘......说到春季，夏季使用的护肤品相信不少MM都会选择补水保湿效果好的因为只有让肌肤吃饱水分才能够避免以上的这些问题说到日本保湿效果好的护肤品那就太多了比如药妆店的平价系列中MINON、碧柔、芙丽芳丝、薏仁水、肌研。。。都是保湿效果不错的产品但对于敏感肌的妹子来说选择护肤品可不能大意一定要选择无添加、或者含100%植物成分不过，最推荐的还是敏感肌专用的护肤品今天，就给MM们介绍一下被疯抢的一个牌子▼▼▼Curel 珂润Curel是花王旗下专门针对干燥敏感肌人群研制的一款护肤品品牌再不给肌肤带来刺激的同时能够全面呵护干燥肌肤！别看它不属于专柜大牌护肤品牌但人家在药妆店里的人气可是无人能比它可是敏感肌女生的大救星！下面就来看看Curel有哪些护肤好物吧！柔软啫喱状质地无需用力揉搓就可轻松涂抹开清爽不刺激不会给皮肤造成任何的负担泡沫持久丰盈彻底洁净汗水及油脂污垢同时保护肌肤内的天然保湿元素蕴含温和洁净成分不会对肌肤造成负担用后感觉舒爽水润有效预防干燥问题含有滋润成分蓝桉叶提取物可渗透至角质层内深度保湿调整肌肤不易受外部刺激影响光滑而充满滋润感这款乳液的滋润度很高配合化妆水使用保湿效果更好能够让肌肤充足喝饱水分彻底改善干燥问题从根本改善干燥敏感性肌肤醇厚滋润不黏腻有效缓解干燥及敏感症状能够充分渗透到角质层内保持丰盈弹润的滋润肌肤状态通过渗透角质层面膜配方修复皮肤薄弱的眼部角质层使眼部肌肤变得丰盈有光泽弱酸性，不含香料，色素及酒精真正无添加配方，纯物理防晒清爽易吸收的乳液型使用后肌肤保湿不干涩涂抹后无油腻感，透明不泛白解决了干燥性敏感肌肤的困扰秋冬季节唇部的保养同样重要这款润唇膏具有很好的保湿效果能够长时间保持唇部滋润有光泽温和清洁配方,有效洗净脏污有效保湿滋润，直达角质层深处减少肌肤压力，预防肌肤干燥有配合消炎剂有效成分我们是一群长期成活在日本的男男女女，正在用亲身经历，告诉你一个真实的日本。东京淘平台 :DONGJING_tao欢迎各种合作，欢迎添加小编微信"
9,【wishh!】门店最新海报！Curel、安耐晒、面膜精选优惠,香港购物宝典,ab735a258a90e8e1-6bee54fcbd896b2a-abd92be276d951140e3260f660587eab,"wishh 多款产品做优惠益街坊数量有限，售完即止▼【$88/件】Banila co. 保湿卸妆霜 (新版) 100ml【$59/件】德国 Balea 保湿浓缩精华安瓶【$114/件】Curel 润浸保湿乳液 120ml【$68/件】MEISHOKU 明色 美白抗皱W眼霜 30g【$33/件】SHISEIDO 资生堂洗颜专科 超微米洁颜乳【$85/件】ROHTO 乐敦製药 Melano CC 药用黑斑集中 保养美容液【$35/包】ARAX 可水洗立体口罩 3枚入【$82/件】SHISEIDO Anessa 资生堂 安耐晒 全新升级超防水美肌UV乳液 (2018) SPF50+ 
PA++++ 20ml【$64/件】Pelican 背部美白防暗疮喷雾 100ml- 九龙 -新蒲岗 wishh outlet九龙新蒲岗太子道东704号新时代工贸商业中心7楼电话：62961533营业时间：星期一至五: 上午09:30 – 下午07:30 星期六: 上午09:30 – 下午05:30旺角始创中心店九龙旺角弥敦道750号始创中心1楼119号舖电话：3140 6122营业时间：上午10:30 – 下午10:00旺角弥敦道店九龙弥敦道580号恆隆大厦地下6号舖 (登打士街口入)电话：2856 2011营业时间：上午11:00 – 下午10:30旺角中心店九龙弥敦道688号旺角中心1期地下G23号舖电话：2750 7668营业时间：上午11:00 – 下午10:30尖沙咀加拿芬道店九龙尖沙咀加拿芬道16号金辉大厦地下C舖电话：2612 2080营业时间：上午11:00 – 下午10:30黄大仙中心店九龙黄大仙正德街103号黄大仙中心UG层31号舖(大众书局对面)电话：2650 0034营业时间：上午11:30 – 下午09:30黄埔聚宝坊店红磡黄埔花园11期聚宝坊地库B1层B34A舖电话：2459 9967营业时间：上午11:30 – 下午09:30乐富广场店乐富联合道198号乐富广场1楼1163A舖电话：2252 3600营业时间：上午11:00 – 下午09:00秀茂坪店九龙观塘秀茂坪村秀茂坪商场地下15B舖电话：2812 9800营业时间：上午11:00 – 下午09:00- 香港 -铜锣湾波斯富街店香港铜锣湾波斯富街77-83号波斯富大厦地下A舖电话：2529 1618营业时间：上午11:00 – 下午10:30- 新界-天水围天泽店天水围天泽商场1楼108号舖电话：2771 9600营业时间：上午10:00 – 下午09:00天水围天耀店天水围天湖路2号天耀广场地下L040A号舖电话：2446 3320营业时间：上午10:00 – 下午09:30上水匯店上水龙琛路48号上水匯2楼203号舖电话：2812 9007营业时间：上午10:00 – 下午10:00屯门蝴蝶广场店屯门湖翠路1号蝴蝶邨蝴蝶广场L1层R120号商舖电话：2446 1113营业时间：上午11:00 – 下午09:00将军澳都会马尺店将军澳景岭路8号都会马尺商场第2层L2-066号舖(大快活对面)电话：2348 4633营业时间：上午10:30 – 下午09:30将军澳广场店将军澳唐德街1号将军澳广场商场1楼1-140号舖电话：2178 2383营业时间：上午10:30 – 下午09:30马鞍山广场店马鞍山西沙路608号马鞍山广场 L2层278号舖电话：3524 7399营业时间：上午10:30 – 下午10:00一切价钱以店舖展示为准部分货品只限指定店舖发售数量有限，先到先得，售/送/换完即止公众号菜单栏回复“莎莎”莎莎价值$390电子优惠券免费领取!更多香港购物优惠资讯尽在“香港购物宝典”微信公众号（长按二维码就能关注我们啦）右下角，您点一个小编工资涨1毛  投稿 & 合作 & 建议 & 联系  合作QQ | 2355734591合作电话 | 400-9999-087"
