,Title,Account,ID,PostTime,Text
0,还剩3天！freeplus为城市独奏者建了座虚构城市，Hebe也来打过卡了！,魔都gogo,ab735a258a90e8e1-6bee54fcbd896b2a-f8822e18eb539b105ef2ea2808b217d6,document.write(timeConvert('1545393339'))2018-12-21,圣诞将至，今年freeplus依旧在魔都开启了这场蓝色圣诞。不过今年有了一个全新的命题：孤独。生活在都市的人，总是沿着熟悉的路，在孤独的意志上漫步。这座城市是我的，也是你的，我们之于TA，只是渺小又短暂的一瞬，我们在这里有了全新的定义——城市独奏者。昨天，这一场“Together！城市独奏者”freeplus和田馥甄的敏感共奏开幕仪式也正式拉开了帷幕。freeplus品牌代言人Hebe田馥甄也惊喜现身，和众多城市独奏者一起探索这座1000㎡的虚构城市。无所谓这世界的嘈杂，对我来说，只要打开我的房门，回到那个私密的空间，就能找到我自己。/Hebe田馥甄在这里，gogo也要带着你一起从Hebe《自己的房间》开始，找到自己，去探索更多更远的地方。接收完freeplus的wifi讯号，现在就跟着gogo一起正式解锁这场蓝色圣诞之旅吧！在这座为城市独奏者自我探索而构建的虚拟试验场里，你首先邂逅的就是15个显示屏。15个显示屏分别对应展览空间里的15个记录摄像头，你既可以作为观望者，也可以作为体验者，对自我进行探索。从“自处”开始探索自我，踏上这趟【独奏专列】，在孤独的空白房间里摸索自我的轮廓。3重感官感知多方面的自我。在“发声”的空间，戴上耳机闭眼聆听心跳，倾听自己的声音，感受物质与精神意义上的存在。在freeplus背后的暗格内，用手触碰墙面，点亮发光装置，感知自我的力量。走进“发想”空间，听Hebe在耳边诉说，让思维随着发散，整个人随心而动就好。踏入协奏广场，由一场与陌生人的合拍试炼开始试着与都市相处。在三个不同的房间里，分布着吉他、键盘、架子鼓，还有三位协奏者等你一起加入，完成一段协奏命题，感知这个音乐空间的短暂共存。更新鲜的是，你还能在这里直接穿越到一座神秘的雪国森林，直接复刻深吻之水的拍摄场景。戴上freeplus为你精心准备的拍摄道具——温暖毛线帽&围巾，参考官方雪景大片pose，留下你的独奏者影像记录。蓝色圣诞的最后一站——共奏剧场！趁着freeplus装点好的冬日花园景象，不妨好好玩个尽兴！这里每天还会定时上演一场场特别的敏感四重奏音乐会，当经典的圣诞赞歌遇上Hebe的金曲又会擦出怎样的火花？每天限6场的特别体验，你准备好开启了吗？悄悄告诉你，这里还有一份专属于城市独奏者的圣诞惊喜哦~找到现场的自动贩卖机就能获得哦~两台自动贩卖机隐藏在共奏剧场中，等待各位城市独奏者前来解锁！*每天限量450份哦~最后的最后，freeplus还有惊喜奉上哦~入场时领取的独奏者日报就是本次的打卡手册哦~集齐全部区域的4枚印章，就可以领取一杯“敏感之味”。来自京都的人气精品咖啡品牌%阿拉比卡，携手freeplus为城市独奏者一同奉上敏感Cafe限时游击店，快来解锁吧~精选优质咖啡豆独家定制特调敏感之味，颜值口味双重惊艳你！带上打卡手册就能get哦~摆拍起来也超赞~气质丝毫不输哦！城市独奏者的专属敏感之味，gogo帮你提前安排上了！除了让人逛不停的展览，freeplus也为城市独奏者准备了一份圣诞礼物。freeplus×Hebe田馥甄再出跨界！保湿修护柔润护肤系列水乳洁面三件套，还有温暖的毛线帽和围巾，从肌肤到心意给独奏者最悉心的呵护。freeplus芙丽芳丝天猫官方旗舰店已上线~独奏者们可以一起上线入手啦！这个圣诞奏响Live in life美妙乐章！Together！城市独奏者--freeplus和田馥甄的敏感共奏公众开放2018年12月21日~2018年12月23日 地点静安区常德路800秀创意园（近昌平路）点击下方小程序直接预约免费看展！▼今日互动文末走心留言谈一谈# 你在魔都最孤独的时刻 #gogo将抽取3位幸运粉丝送出明星商品正装一份哦！（包含：洗面霜+化妆水+乳液）编辑 / 阿喵摄影 / 小六摄像 / lfk设计 / ZANE、Anson、肥牛牛牛牛校对 / 小美艾-商务合作-微信：riko1221电话（同微信）：18717862809邮箱：chanel@gogoshgroup.com
1,freeplus芙丽芳丝|平价中的战斗机，敏感肌的福音！,达令家园,ab735a258a90e8e1-6bee54fcbd896b2a-e70074ecf94493519dffecdbf41e164e,document.write(timeConvert('1547107422'))2019-1-10,一到换季，对于敏感肌的小伙伴来说就非常的痛苦。皮肤不稳定，也不知道该用什么护肤品，要小心翼翼的去呵护，稍微不注意，就会折腾整张脸。对于敏感肌来说，选择无添加护肤品，是不会出错的。小编就大家比较熟知的一个日系针对敏感肌的护肤品品牌，给大家做介绍~01关于品牌freeplus芙丽芳丝，是日本Kanebo佳丽宝化妆品株式会社旗下的，无添加针对脆弱肌肤的护肤品牌，freeplus的含义就是“无添加”。芙丽芳丝历经多年对敏感肌肤的研究，旨在为肌肤敏感和状态不稳定的现代女性，提供“近零刺激的安心（free）&令人满意的功效（plus）”的护肤品。严格选取优质而低刺激的原料，竭力摒除有可能刺激不安定肌肤的成分。经过周密的安全性、稳定性的测试验证，选取大枣、陈皮、川芎根、桃核仁、甘草叶、川谷籽等6种和汉植物，将其精华以“黄金比率”注入到每一款芙丽芳丝产品中，帮助缓解肌肤烦恼，保护你的角质层。和汉植物自古以来，中日两国人民都曾把大自然孕育出来的植物，积极运用于健康和美容方面。芙丽芳丝称这些凝聚了中日两国美颜智慧的天然植物为“和汉植物”，关注并探究其可能性。芙丽芳丝系列产品不含防腐剂、香料、紫外线吸收剂、色素、酒精、矿物油等。02和汉植物01大枣（枣果提取物）大枣原产于中国，已有几千年的栽培历史。其提取物赋予产品抗炎、保湿、舒缓、抗皱及晒后修复功效的植物果实提取物。含有丰富的维生素B2，用作营养性的助剂，可协助粉刺的预防和治疗、调理皮肤等。02温州蜜柑果皮提取物温州蜜柑果皮经干燥处理后，称之为“陈皮”，常被用于沐浴液等产品。具有活肤的作用，结合它对细胞的增殖能力，提取物有很好的抗衰性能；对荧光素酶活性有促进作用，说明有抗炎的功效。03桃核仁提取物除去桃子的果肉及外部坚硬的核壳，将里面的仁晒干就是“桃核仁”。对表皮角质细胞有增殖作用，对氮氧化合物生成的抑制，兼之抗氧性和可较明显地提高角质层的含水量，表面有不错的活肤和抗衰性能，以及紧肤、抗炎和保湿等作用。04光果甘草叶提取物甘草的根状茎组织细胞内存在着抗氧活性很强的皮肤脱色，淡化色斑的功能成分，具有抗菌消炎、抗氧化、抗衰老、防紫外线、防晒、美白亮肤、祛斑等功效。05日本川芎根提取物能抑制自由基的生成，有效清除氧自由基，在较低浓度下，可有效抑制黑色素细胞的活性，减少黑色素的生成，但浓度过高则显示其细胞毒性作用；同时具有吸湿性，具有保湿作用。06川谷籽提取物具有中等程度的抗氧化性，通过对超氧自由基的消除，对体内氮氧化合物生成的抑制，达到抗衰老的作用；可以增加皮肤活性，减少皱纹；明显改变皮脂组成，从而减少皮肤的油性，改善皮肤的柔润程度；可以抑制酪氨酸酶，抑制黑色素细胞的增殖，具有美白功效。03关于产品为追求“品质”和“安心”，芙丽芳丝的所有产品都是日本原装进口，针对各种肌肤烦恼，产品系列齐全，满足不同肌肤的需求。小编选几款芙丽芳丝比较热门的产品，给大家介绍。01芙丽芳丝氨基酸洗面奶芙丽芳丝氨基酸洗面奶是日系洁面中，难得的一款氨基酸洁面，可以说是氨基酸洁面中的鼻祖了。白色的膏体，质地相对来说比较稀薄，PH值和人体皮肤接近，可以说是非常温和的。打出的泡沫也很绵密，温和不刺激的同时，清洁力也并没有减弱。洗面奶中不含皂碱，没有化学起泡剂，清洁肌肤过程中，不会带走过多的水分，洗完后脸还是水水润润的，完全不会感到干燥紧绷。✔如何鉴别真正的氨基酸洗面奶？有一些洗面奶里标明了氨基酸，比如甘氨酸、亮氨酸、丝氨酸等，但只有这些并不代表就是氨基酸洗面奶。氨基酸只有保湿功能，并没有清洁能力。真正的氨基酸洗面奶，需要符合2个条件：第一，起清洁作用的是氨基酸表面活性剂；第二，氨基酸表面活性剂含量要高。✔如何判断氨基酸表面活性剂？记住这个结构式：某酰基+氨基酸+钠（或钾），比如最常见的有：椰油酰谷氨酸钠、月桂酰肌氨酸钠、椰油酰基谷氨酸TEA盐。芙丽芳丝氨基酸洗面奶的主要清洁成分是椰油酰甘氨酸钾。02芙丽芳丝保湿水乳套装芙丽芳丝保湿水乳分为两款：清爽型和柔润型，毕竟干皮和油皮对于水乳的需求还是很不一样的。尤其在秋冬季节，干皮更加倾向于补水效果好、比较滋润的水乳，油皮需要的更加清爽一些。▲左：清爽型  右：柔润型芙丽芳丝水乳套装被称为“深水炸弹”，能够将补水直达洁肤角质层，长效锁住水分，帮助提升肌肤防御能力，调养肌肤水油平衡。不含香料、色素，接近肌肤的弱酸性，不含苯甲酸酯类防腐剂、紫外线吸收剂、酒精、矿物油，孕妇和敏感肌可以放心使用。芙丽芳丝除了温和安全，还有它超高的性价比也足以让人喜欢它。在Cosme大赏上，芙丽芳丝的产品也一直榜上有名，是日系护肤品中平价的精品，敏感肌的无限回购选择~如需购买，打开达令家App，搜索“芙丽芳丝”即可。
2,freeplus芙丽芳丝新款水润保湿霜，准备挑战珂润面霜“霸主”之位！,淘大阪,ab735a258a90e8e1-6bee54fcbd896b2a-431533658c6aa627fe10655e3733447a,document.write(timeConvert('1549114209'))2019-2-2,说起平价面霜，那珂润必须拥有姓名。珂润，作为日本花王旗下的开架人气品牌，专为干燥性敏感肌设计。全线产品都添加了神经酰胺成分，不仅保湿，还能修复受损的皮肤屏障。它家的面霜更是人气之王。2016进入COSME殿堂赏。传说中“干敏皮亲妈”、“平价保湿之王”、“平价面霜NO.1”...正儿八经的口碑好爆棚。补水保湿方面绝对绰绰有余，非常温和，皮肤干燥红痒的时候感觉很滋润有一定的镇定作用。涂完非常舒服，皮肤软软的，肤感超赞。好用不贵，说它是面霜中的“平价霸主”真没客气。不过，芙丽芳丝有点不服气了，最近要推出一款全新水润保湿霜，准备和珂润面霜争个一二。作为日本KANEBO旗下敏感肌专用品牌，芙丽芳丝无添加，低刺激，是肌肤敏感和状态不稳定的小伙伴的绝对救星。freeplus，主打的就是天然汉方植物精华，含有6种天然汉方植物萃取肌肤保湿精华，以及多种护肤有效成分，能调养角质层至安定平衡的健康状态，改善肤质。对于freeplus，很多人首先想到的是氨基酸洁面，其实它的面霜也超好用。补水又滋润，可以在角质层锁住水分，啫喱质地非常清爽，上脸不会觉得油腻，补水效果极好。温和配方，敏感肌和孕妇都可以用。对于干燥肌肤来说，面霜是保持滋润、锁住水分非常重要的一步。但是很多小伙伴表示，不是很爱用面霜，感觉太厚重，太粘腻了。为此，freeplus特别推出了一款“水霜”，就是要让你分分钟爱上面霜！▲发售时间：2月1日官网售价：50g，4104日元（税入）“watery cream”，看名字就知道它很“水”。附带一支小挖勺，使用起来更安全卫生。在保湿滋润的同时，使用感也是一级棒。依旧是freeplus金银花、紫苏、薏仁等多种天然汉方植物精华，不会给皮肤带来负担。提高肌肤弹力、保水力的同时，还能让皮肤平衡安定，调整到一个健康的状态。独家处方，将和汉植物成分和水分很好地包裹住。“无重力”般的使用感，和皮肤接触的瞬间化成水状，甚至感觉不到摩擦力，使用感100分。全新的质感，和之前的啫喱质地有所不同，是水水的白色乳霜质地，感觉很清透。延展性超好，用手指轻轻按压涂抹开，乳霜瞬间就变成了透明的水状，吸收超级快，非常清爽，一点都不粘。虽然质地很水很清透，可是保湿效果一点都不含糊。涂完瞬间感觉皮肤好像喝饱了水一样，嘭嘭的，自己都忍不住多按几下。清清爽爽，即使油皮也会很爱。而且没有酒精、香料、矿物油等乱七八糟的添加，孕妇、敏感肌都能用。作为一款高保湿面霜，freeplus全新水感保湿面霜使用感和效果可以说是超级良心了。尤其是干敏皮的小伙伴，一定要试试，植物配方，对于糟糕的皮肤也有很好的调节作用。都是日本敏感肌系列的实力选手，性价比妥妥的，珂润和freeplus，你更pick谁呢？CPB | 资生堂 | POLA | 怡丽丝尔 | SK2吃货世界 | 明星同款 | 联名限定 | 年度榜单 | 真假对比卸妆 | 洁面 | 水乳 | 面霜 | 精华 | 眼霜 | 彩妆
3,"【每日说明书,第1288期】Freeplus芙丽芳丝沁润舒缓面霜40g",淘大阪,ab735a258a90e8e1-6bee54fcbd896b2a-39da6abb8d2ad2384b364e06aa403b73,document.write(timeConvert('1551015013'))2019-2-24,关于【每日说明书】第1288期< 淘 大 阪 >为了让大家更好的了解日本产品，我们将每日推送一款日本商品的中文说明书查询想要了解的商品，请按格式回复：商品（名称或条形码）说明书例如：Freeplus芙丽芳丝 沁润舒缓面霜 40g查询不到的说明书，大阪君会尽快完善。Freeplus芙丽芳丝 沁润舒缓面霜 40g·低刺激守护肌肤滋润，打造丝绸般水润健康、柔嫩细腻的肌肤护理。·醇厚质感，保持肌肤长时间弹力保湿至翌日清晨。给与肌肤弹力滋润的药用高保湿面霜。主要成分烟酰胺，甘草酸二钾，水，澳洲坚果油脂肪酸植物甾醇，角鲨烷，山梨糖醇溶液，浓甘油，DPG，山嵛醇，橄榄油，霍霍巴油，BG，棕榈酸十六酯，三异硬脂酸甘油酯，澳洲坚果油，亲油型硬脂酸甘油酯，异硬脂酸酯，苯氧基乙醇，氢化大豆磷脂，羧乙烯基聚合物，黄原胶，云杉提取物，棕榈酸，氢氧化钾，(2S，3R)-2-十八烷酰基氨基十八烷-1，3-二醇，乙二胺四乙酸盐，大枣提取物、陈皮提取物、核桃仁提取物、薏苡籽提取物、甘草叶提取物、川芎根提取物，N-甲基-L-丝氨酸，透明质酸钠-2，水解胶原（4）使用方法1、用于夜间护肤最后一步。2、取适量本品于手心，温和涂抹全脸。3、对于特别干燥的部位，可以充分涂抹。注意事项1、在有伤口、肿包、湿疹等皮肤异常之处不宜使用。2、使用的时候要充分注意肌肤是否出现异常情况。在跟肌肤不合的时候，使用中出现发红、肿胀、发痒、刺激、掉色（白斑等）和发黑等异常情况的时候，或是阳光直射而出现同样异常情况的时候，应该停止使用，并向皮肤科医生咨询。如果继续使用的话，则有可能会导致症状恶化。3、注意不要让洁颜泡沫进到眼睛里，如果进到眼睛里的话，应立即用水彻底清洗。4、为防止儿童和痴呆症患者等人误饮，应注意选择保管场所。5、使用后请务必盖紧盖子。6、请勿放置于极度高温或低温、及阳光直射的地方。条形码4973167158456- End -
4,"【每日说明书,第1287期】Freeplus芙丽芳丝全新水感面霜50g",淘大阪,ab735a258a90e8e1-6bee54fcbd896b2a-af47d5b3ebfa06d7b73e928b32d36b94,document.write(timeConvert('1550928692'))2019-2-23,关于【每日说明书】第1287期< 淘 大 阪 >为了让大家更好的了解日本产品，我们将每日推送一款日本商品的中文说明书查询想要了解的商品，请按格式回复：商品（名称或条形码）说明书例如：芙丽芳丝 全新水感面霜查询不到的说明书，大阪君会尽快完善。Freeplus芙丽芳丝 全新水感面霜 50g·接触皮肤瞬间化为水状，在皮肤形成富含水分的透明水肌膜，给与皮肤“零”摩擦般的水感面霜。·通过保湿效果调整易干燥肌肤的水分平衡，打造富有透明感，水润光滑的美肌。主要成分水，甘油，BG，DPG，角鲨烷，麦芽糖醇，澳洲坚果脂肪酸植物甾醇，氢化卵磷脂，卡波姆，胆固醇，澳洲坚果油，氢氧化钾，（丙烯酸酯/丙烯酸烷基酯（C10-30））交联聚合物，甘草酸钾，烟酰胺，EDTA-2Na，黄原胶，甲基丝氨酸，金银花提取物，紫苏叶提取物，陈皮提取物，当归叶/茎提取物，甘草叶提取物，桃子提取物，薏米提取物，苯氧乙醇使用方法建议用于晚间化妆水、乳液之后。请用所附刮勺取1勺的量，柔和涂抹于整个面部并使其充分渗透。注意事项1、在有伤口、肿包、湿疹等皮肤异常之处不宜使用。2、使用的时候要充分注意肌肤是否出现异常情况。在跟肌肤不合的时候，使用中出现发红、肿胀、发痒、刺激、掉色（白斑等）和发黑等异常情况的时候，或是阳光直射而出现同样异常情况的时候，应该停止使用，并向皮肤科医生咨询。如果继续使用的话，则有可能会导致症状恶化。3、注意不要让洁颜泡沫进到眼睛里，如果进到眼睛里的话，应立即用水彻底清洗。4、为防止儿童和痴呆症患者等人误饮，应注意选择保管场所。5、使用后请务必盖紧盖子。6、请勿放置于极度高温或低温、及阳光直射的地方。条形码4973167380482- End -
5,freeplus_2018谢谢敏感丨打开田馥甄的敏感Codebox,太百购物中心,ab735a258a90e8e1-6bee54fcbd896b2a-8a873847f1e5148e6ee542c71c29d578,document.write(timeConvert('1546513342'))2019-1-3,当我们谈论敏感的时候，在谈什么？问了很多人，我们从中选取四个主题，携手敏感代言人田馥甄，在2018年拍摄首支主题CM，带来“谢谢敏感”的全新解码“恋爱的勇气，梦想力，友谊道，陌生人的特别意义”终极版“田馥甄的敏感Codebox”✦✦✦有多少仙草正处于人生的奋斗上升期，关于“恋爱、梦想、友情、陌生人”这四个课题，产生多少敏感、疑惑？如果可以由喜碧来解答，一定能够获得幸运力吧！✦❤更多商品详情请见阿克苏太百店店内1F  芙丽芳丝如果你对本贴感兴趣呢请动一动小手长按下方二维码关注我们太百购物中心欢迎您
6,"【每日说明书,第1219期】Freeplus芙丽芳丝UV防晒乳液50ml",淘大阪,ab735a258a90e8e1-6bee54fcbd896b2a-9aa7d3c5bff0373f12d635850178729a,document.write(timeConvert('1544882183'))2018-12-15,"关于【每日说明书】第1219期< 淘 大 阪 >为了让大家更好的了解日本产品，我们将每日推送一款日本商品的中文说明书查询想要了解的商品，请按格式回复：商品（名称或条形码）说明书例如：Freeplus芙丽芳丝 UV防晒乳液 50ml查询不到的说明书，大阪君会尽快完善。Freeplus芙丽芳丝 UV防晒乳液 50ml·6种植物提取物混合配方·无香料，无着色·含W复合物<角质保护>制剂，含4种紫外线损伤预防成分·不添加对羟基苯甲酸酯，不添加紫外线吸收剂，不添加矿物油。主要成分4-环甲硅油，水，氧化锌，1,3-丁二醇，乙醇，聚二甲基硅氧烷，苯基三甲基硅油，辛基甲硅烷基化氧化钛，角鲨烷，脱水山梨糖醇异硬脂酸酯，（聚二甲基硅氧烷/乙烯基聚二甲基硅氧烷）交联聚合物，聚甲基聚硅氧烷，PEG-8三氟丙基二甲基硅氧烷共聚物，三异硬脂精，烟酰胺，甲基丝氨酸，甘草提取物，甘草酸二钾，泰国大豆提取物，盐酸吡哆辛，温州蜜桔提取物，栀子提取物，金银花提取物，光皮木瓜提取物，薏苡籽萃取物等使用方法上下晃动瓶身，取足量乳液涂抹于肌肤，用量过少会影响防晒效果。为保持防晒效果，请及时补涂防晒。用香皂即可轻松卸除。注意事项1. 在有伤口、肿胀、湿疹等皮肤异常之处请勿使用2. 使用中出现发红、肿胀、发痒、刺激、掉色(白斑等)和发黑等异常情况的时候，请停止使  用，向皮肤科医生咨询。3. 使用时注意不要让产品进到眼睛里，若不慎进入眼睛，请立即用水彻底清洗4. 为了避免儿童、认知障碍患者等误饮误食，请注意选择保存场所5. 使用后请正确拧紧瓶盖6. 请勿将本产品放置在温度极高或极低，阳光直射的地方7. SPF / PA指示是通过国际确定的测试方法测量的值，这些指标是产品选择的指南。条形码4973167358399- End -"
7,【花想容·进口潮品】日本Freeplus净润芙丽芳丝氨基酸洁面奶，孕妇敏感肌可用,花想容化妆名品店,ab735a258a90e8e1-6bee54fcbd896b2a-3549f9a39e3da188f7ef10ab90d6aed0,document.write(timeConvert('1550921435'))2019-2-23,大家听到芙丽芳丝freeplus的第一反应肯定是它大名鼎鼎的氨基酸洗面奶堪称“小cdp”为什么他能众多产品中脱颖而出因为芙丽芳丝的成分灰常天然而且无添加氨基酸系洗面产品经典款能彻底清洁外界环境污染严选原料，不给肌肤额外负担清洁同时为肌肤注入水分和活力上脸温柔细腻，冲洗后也无紧绷感芙丽芳丝是Kanebo旗下的一个无添加针对脆弱肌肤的系列。品牌理念：近零刺激+和汉植物精粹，健康美肌尽现！历经近40年对脆弱肌肤的探索之旅，综合从多天然植物的深度研究成果，始终致力于为肌肤易脆弱和状态不稳定的现代女性提供有近零刺激的安心（free)&令人满意的功效（plus）的护肤品。这支洁面我觊觎很久了，之前《美丽俏佳人》也介绍过，名字说是洁面霜，说白了就是洗面奶，属于泡沫绵密类型的，由于之前某段时期肌肤偏干容易敏感，所以我对于有泡泡的洁面基本都是拒绝的，这款也是看了好久才下手，主要因为是氨基酸起泡，这个还是很温和的。一般的白色膏体，用手揉搓出来的泡泡就很丰富，特别细密，不仔细看都不觉得这是泡泡，而用打泡网呢，就比较壮观了，跟直接按压起泡的洁面出来的效果差不多。其实一般许多妹纸不会特意买个打泡网，那么就直接用沐浴球就好了，出来的效果也很拉轰哈哈。因为成分里不含皂碱，没有化学起泡剂，所以洗的过程中不会带走肌肤过多水分，洗完之后，脸上还是润润的，除了毛孔干净清透许多，所以我很推荐干敏皮，混合肌妹纸使用。里面的成分呢，自然是少不了这个系列的6大成主要成分，温州蜜柑果皮提取物，核桃仁提取物，薏苡仁提取物，光果甘草叶提取物，日本川穹根提取物，枣果提取物。不含酒精，不含色素，不含香料，不含紫外线吸收剂，不含苯甲酸酯类防腐剂。洗着洗着，闻的味道类似于奶味，淡淡的，一支用下来，感觉，毛孔内的脏东西都洗走了，肤色也透亮许多，温和和洁净力兼备的一款洁面，在这个价位上，算是性价比很高，真心一生推了。竭力摒除有可能刺激敏感肌肤的成分，反复甄选优质低刺激的原料，产品和原料均通过严格的审核标准，并经周密的安全性、稳定性的试验验证。6种和汉植物萃取精华以“黄金比率”被注入到每一款芙丽芳丝产品，再配以烟酸B、蓄水丝氨酸120，更能调养角质层至安定平衡的健康状态，改善肤质，打造水嫩盈润的健康美肌。心动不如行动想做美美哒小鲜女快来花想容呦~您的意见是我们前进的动力服务投诉电话0357-6221200亲！现在可以留言了哦！欢迎吐槽！现在各店都已开通微信支付，支付宝支付，不用带钱包就可以轻松购物哦！关爷楼店：洪洞县关爷楼西0357-6228669光华路店：洪洞县光华路0357-6362999新建路：洪洞县新建路0357-6362666赵城店：洪洞县赵城跃进路23号0357-6561777广胜寺店：洪洞县广胜寺飞虹市场东南角0357-6623085曲亭店：洪洞县曲亭镇风水亭十字路口西0357-6690900明姜店：洪洞县明姜南社文化苑北100米0357-6360700涧桥店：洪洞县涧桥南100米0357-6288890莲花城店：洪洞县莲花城购物中心A馆一楼0357-6680099赵城凤凰店：洪洞县赵城广场东20米0357—6562777嘉园店： 临汾市洪洞县朝阳东街盛世花园楼下 0357-6290880 甘亭店： 临汾市洪洞县甘亭镇农贸市场南门对面0357-6689899南段店： 临汾市洪洞县辛村乡南段村富民街21号0357-6260020万安店： 临汾市洪洞县万安镇南门口往北200米路东15383472022花想容亚健康调理中心：洪洞县泽瑞嘉园南门往东300米住房公积金对面0357-6585333
8,佳丽宝化妆品公司起用永野芽郁代言强力打造全球战略品牌“freeplus芙丽芳丝”,日中商报,ab735a258a90e8e1-6bee54fcbd896b2a-f5f5e80b36e9a1e230fc7b7a3518b3eb,document.write(timeConvert('1547716850'))2019-1-17,"(日中商报讯）1月17日，佳丽宝公司在东京半岛酒店举行了新闻发布会，向媒体介绍了品牌产品“freeplus芙丽芳丝”优势和特点，新的代言人女演员永野芽郁也出场亮相，向媒体介绍了自己对该产品的体验。日本大手化妆品公司佳丽宝化妆品公司从2019年1月起，把全球战略品牌“freeplus芙丽芳丝”在日本的品牌口号定为“爱上敏感”，加强对品牌的培育。起用女演员永野芽郁作为新代言人，积极开展电视广告、网络推广以及店面宣传等活动。树立以积极的态度对应“敏感肌肤和敏感心灵”的品牌形象，力图在日本提高品牌的认知度和关注度。“freeplus芙丽芳丝”是佳丽宝化妆品基于多年敏感肌肤研究而打造的品牌。产品采用对肌肤负担少的低刺激配方，添加了和汉植物的滋润成分。2005年引进中国，开始走向国际，2015年左右，“芙丽芳丝净润洗面霜”在中国广受好评，2017年开始，佳丽宝化妆品加速推进全球市场战略，首次起用中华圈代言人，将品牌口号改为“谢谢！敏感。”这一宣传口号积极正面地接受敏感，引起了具有敏感肌肤意识的女性的广泛共鸣，近年来，freeplus芙丽芳丝在以中国大陆为主的东亚地区实现了飞跃成长，一跃成为佳丽宝化妆品的代表性全球战略品牌。从今年开，“ freeplus""作为全球战略品牌要努力实现进一步的飞跃成长，在品牌发源地日本加强品牌培育。此前，“freeplus”在日本一直以“敏感肌研究”、“和汉植物”作为关键词进行宣传，在中国市场成功的背景下，决定将中华圈采用的积极看待敏感的思考方式引进日本。将日本的新品牌口号定为“爱上敏感”“敏感不是脆弱，是能感受到各种事物并给与关照的细心”，通过发出积极面对敏感的信息，打造贴近敏感肌肤和敏感心灵的品牌形象。"
9,今日推荐|换季打倒干燥敏感“怪”——芙丽芳丝freeplus氨基酸泡沫洁面乳,维斯顿WISDOM,ab735a258a90e8e1-6bee54fcbd896b2a-8206641d88c0b53d1be5370b181318fe,document.write(timeConvert('1545038070'))2018-12-17,"洗面奶的重要性自然是不必说的我们对洁面的要求呢首先肯定是要能洗干净这点市场上大部分的产品都能做到但要起到保湿、控油等效果可不是所有的产品都能做到保养护肤清洁最重要，尤其是对于敏感肌的人群来说更是最不能忽视是一步。洁面没选好，敏感的肌肤从第一步开始就状态不对了。日本Freeplus芙丽芳丝洁面乳敏感肌真的很难选护肤品吗？其实不是哦，日本的很多保养护肤品都是专门针对敏感肌所研发的，那洁面到底哪个好？Freeplus说给你听。维斯顿今日推荐日本Freeplus芙丽芳丝氨基酸泡沫洁面乳100g水润不紧绷、温和低刺激可扫描下方小程序进入微商城购买敏感肌肤是怎么回事？   引起敏感肌肤的原因其实就是皮肤的""角质层紊乱""。   角质细胞具有保持肌肤水分的能力，角质细胞间脂质填补在细胞和细胞的空隙间，形成屏障，给予防御功能，能阻挡外部的刺激性物质渗透进肌肤的内部。              可是如果皮肤干燥、角质层的防御功能降低，肌肤就无法保持滋润。如果剥落的角质片翻翘起来，刺激性物质等就会轻易地侵入到肌肤的内部。皮肤自然就很容易变得敏感了。告诉你温和护肤的小秘密！⇛高效清洁：弱酸性的丰富泡沫包裹肌肤。⇛易冲洗不紧绷：泡沫细腻，弱酸性的洗面奶有很强的亲水性，易冲洗，洗后没有紧绷感。⇛安全0刺激：严格选取不给肌肤添加负担的原料，触感舒适，配方温和低刺激。⇛水油平衡：6种和汉植物精华，赋予肌肤水分和活力，锁住水分不易流失，使肌肤体验超级细腻的水润感。                  因为成分里不含皂碱，没有化学起泡剂，所以洗的过程中不会带走肌肤过多水分，洗完之后，脸上还是润润的，除了毛孔干净清透许多，所以小编很推荐干敏皮，混合肌妹纸使用。维斯顿—就是萌萌哒宝贝专属1现在免费注册微商城会员即送335元新会员大礼包！2会员专享特价会员专区超低价回馈广大维粉会员~3满198元送毛巾一条，满398元送doaez潘多拉礼盒中的喷雾一支，满588元送doaez潘多拉礼盒中透明礼盒一个4美妆、个护、保健89折5花王尿不湿系列990元任选10包6vierra胜肽系列，三种任搭，一盒：318元/盒；两盒：308元/盒；三盒至五盒：298元/盒；六盒及以上：7会员消费送积分：1元=1积分积分后期可以兑换代金券和商品！活动时间为：2018年12月1日-12月16日，本活动最终解释权归维斯顿所有。—— END ——长按二维码关注▲▲▲维斯顿公众号▲▲▲维斯顿阳光一百店地址济南市槐荫区阳光新路阳光一百美乐汇一楼维斯顿专柜电话18615509255▲▲▲维斯顿高新区美莲店地址济南市高新区新泺大街1166号美莲广场2楼中厅如果茶往里直行红舞鞋门前电话15689712577▲▲▲名泉春晓店地址济南市天桥区堤口路68号K88名泉广场二层东首维斯顿专柜电话186689676471号客服已满，请添加2号客服"
