,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,财经网,no location,male,Lv.48,923,33606961,150685,2019-03-04 17:34:00,2019-03-14 13:23:52,feed,今年#天猫金妆奖#，天猫宣布在2019年将加大在美妆市场的投入，扶持1000个美妆品牌在天猫开店，批量孵化超过50个年销售额过亿元的单品。“三年内，再造一个天猫美妆。”这一天，TomFord、东方季道、Glamglow、Cosme、3CE、欧珑、Primera、D-Program、芭兰珂九大国际品牌与天猫正式签约开店，欧美、日本​展开全文c,4346173894963078,15,18, 46
1,_花卷,其他,female,Lv.46,535,257862,703,2019-03-14 10:11:00,2019-03-14 13:23:55,feed,@Caretta嘿！！！！！！,4349697105840907,14,5, 30
2,罗元裳,北京朝阳区,female,Lv.36,114,29090,2175,2019-03-13 15:14:00,2019-03-14 13:24:00,feed,罗元裳做客#新浪财经#直播主题：张30%，还继续定投吗猛戳围观：http%3A%2F%2Flive.finance.sina.com.cn%2Fbozhu%2F5838249609%2F66302%3Fclient_url%3Dsinafinance%253A%252F%252Ftype%253D25%2526program_type%253D1%2526bid%253D5838249609%2526cid%253D66302​,4349400161516719,0,1, 5
3,猴儿君的日常,浙江杭州,female,Lv.44,646,240240,3161,2019-03-12 17:20:00,2019-03-14 13:24:06,feed,#猴的爱用记录#dprogram黄色抗痘乳之前的日霜（左）太易拔干，换上这只作为日乳。很清透的水凝露质地，用手抹开就可以至清爽，但依然更推荐借助化妆棉涂抹，吸收快。这系列针对偏油皮，主要是些消炎、舒缓成分，并帮助改善出油。加上本身是资爸爸面向敏感肌的一线，无香料无酒精，接下来换季也可​展开全文c,4349069465568586,3,36, 31
4,我在垦丁天气晴__,其他,female,Lv.9,124,173,314,2019-03-12 12:18:00,2019-03-14 13:24:10,feed,#混油痘肌用品安利#dprogram真是太太太太太好用辽对于身处大南方、混油偶尔长几个痘、抗拒黏腻且擦完看起来满脸油光水乳的我来说，真是宝藏，估计到了大夏天用黄瓶都莫问题长痘或闭口，阿达帕林凝胶超有用，据说达芙文的hin好，难买到，只用过克逗和福和的痘消了成印期间，换成思丽安乳膏（其​展开全文c,4348993461049265,0,12, 3
5,你的朋友叫小妮,上海普陀区,female,Lv.14,365,116,515,2019-03-12 02:32:00,2019-03-14 13:24:16,feed,#Erasmus+program#D29economicsofinsurance的第一堂课（讲了一些保险学的概况，语速飞快的教授特意查了各种语言的保险说法）晚上和ruby去尝试了一家附近的餐厅​,4348846094446620,0,0, 1
6,傻脸最棒,江西南昌,female,Lv.14,421,180,892,2019-03-11 18:20:00,2019-03-14 13:24:20,feed,#欢迎dprogram安肌心语来到中国#许家大院的女儿们也太团结了吧​,4348722282243550,0,0,0
7,小呆没有甜甜圈,其他,female,Lv.39,322,1684,232,2019-03-11 13:52:00,2019-03-14 13:24:28,feed,为什么dprogram这么好用的乳液一直都不火​,4348654666347935,0,4,0
8,IPSA茵芙莎,no location,female,Lv.27,85,167842,9092,2019-03-11 10:00:00,2019-03-14 13:24:31,feed,量身定制美丽私方靠我，安护敏感养成美肌靠你。#欢迎dprogram安肌心语来到中国#,4348653244519832,3,11, 11
9,资生堂中国,no location,female,Lv.45,406,226906,8760,2019-03-11 11:28:00,2019-03-14 13:24:35,feed,"Ta，早在上世纪70年代就研发易受损问题肌护肤品；Ta，擅长抚平肌肤的“小脾气”；Ta,坚持守护肌肤屏障功能。Ta就是日本连续9年销量第一——资生堂集团旗下dprogram安肌心语，正式登陆中国大陆市场，致力于安护敏感，养成美肌！#欢迎dprogram安肌心语来到中国#@dprogram安肌心语​​​​",4348618473508779,2,6, 13
10,欧珀莱官方微博,no location,female,Lv.46,no follow,no follower,no weibo,2019-03-11 10:00:00,2019-03-14 13:24:42,feed,我，无惧时光；你，无惧敏感。#欢迎dprogram安肌心语来到中国#,4348603780535601,26,32, 20
