,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
0,Yaomidada,None,None,None,None,None,None,None,None,comment,爹快回复我@Curel珂润,4350851491721301,None,None,None
1,大濛pp,None,None,None,None,None,None,None,None,comment,怎么了？,4350581844119037,None,None,None
2,抛弃所有只为你元,None,None,None,None,None,None,None,None,comment,,4350139697089136,None,None,None
3,快乐矮肥宅,None,None,None,None,None,None,None,None,comment,现在京东是平行优惠，可以凑便宜的两件,4349773458680894,None,None,None
4,无事起床吃早茶,None,None,None,None,None,None,None,None,comment,没有会员160,4349773458680894,None,None,None
5,小队长不要拖延,None,None,None,None,None,None,None,None,comment,凑单品：O网页链接,4349773458680894,None,None,None
6,小队长不要拖延,None,None,None,None,None,None,None,None,comment,卸妆啫喱：O网页链接,4349773458680894,None,None,None
7,vicky香港美妆店,None,None,None,None,None,None,None,None,comment,回复@Aglare_:230,4349482533086086,None,None,None
8,Aglare_,None,None,None,None,None,None,None,None,comment,wt905多少钱,4349482533086086,None,None,None
9,艾文韩妆批发代购,None,None,None,None,None,None,None,None,comment,❤️,4349342552388287,None,None,None
10,艾文韩妆批发代购,None,None,None,None,None,None,None,None,comment,❤️,4349342552388287,None,None,None
11,陈诗诗哎,None,None,None,None,None,None,None,None,comment,,4349342552388287,None,None,None
12,亲切棠,None,None,None,None,None,None,None,None,comment,hm指甲油哪里买啊？代购推荐一下,4348239060974271,None,None,None
13,我爱吃西红柿鸡蛋面呀,None,None,None,None,None,None,None,None,comment,柚子，我是属于混干黄皮最近迷茫于用什么样的粉底液，看大多数都是给油皮的，麻烦给推荐一下下吧,4348239060974271,None,None,None
14,JL生菜,None,None,None,None,None,None,None,None,comment,回复@小书穧:我混合,4348239060974271,None,None,None
15,西柚子Crazy,None,None,None,None,None,None,None,None,comment,,4348239060974271,None,None,None
16,肉妈肉爸比,None,None,None,None,None,None,None,None,comment,柚子啊，我3.7号生了个男宝，现在在坐月子，偶尔才能用一下手机，我都用来看你视频了，忠粉吧,4348239060974271,None,None,None
17,西柚子Crazy,None,None,None,None,None,None,None,None,comment,,4348239060974271,None,None,None
18,sssnana,None,None,None,None,None,None,None,None,comment,,4348239060974271,None,None,None
19,Zither云朵,None,None,None,None,None,None,None,None,comment,爱死你了！！！,4348239060974271,None,None,None
20,YANGMIIN_,None,None,None,None,None,None,None,None,comment,回复@西柚子Crazy:好！！！！,4348239060974271,None,None,None
21,西柚子Crazy,None,None,None,None,None,None,None,None,comment,回复@无休止的等待201509:curel面霜,4348239060974271,None,None,None
22,神经姐姐ooO,None,None,None,None,None,None,None,None,comment,天猫官方旗舰店是正品吗,4346924477947485,None,None,None
23,不寄的心,None,None,None,None,None,None,None,None,comment,乐天哈哈哈哈,4346924477947485,None,None,None
24,兰若寻梦,None,None,None,None,None,None,None,None,comment,喜欢自己的大眼睛👀,4346924477947485,None,None,None
25,小羊小麦,None,None,None,None,None,None,None,None,comment,,4346924477947485,None,None,None
