,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,丸子韩妆代购香港日本化妆品YSL,海外,female,Lv.43,986,319533,5342,2019-03-18 11:31:00,2019-03-18 15:07:53,feed,💞日本Curel珂润保湿泡沫洗面奶150ml，敏感肌护理品牌，儿童可用的洗面奶！无刺激不含酒精超级温和慕斯泡沫，很方便，挤压出来直接上脸不需要再起泡，保湿水润[玫瑰][玫瑰]日本花王旗下专为敏感肌设计的品牌，弱酸性，无香料，无着色。​,4351156057047758,0,0, 1
1,日淘小丸子,海外日本,female,Lv.9,60,548886,16577,2019-03-08 16:30:00,2019-03-18 15:07:56,feed,非常推荐给头皮经常干痒、有头屑，或者刚刚烫染过头皮处于敏感期的同学们～,4351153107760764,1,0,0
2,大昱儿日本直送,no location,female,Lv.47,79,56815,30190,2019-03-17 16:13:00,2019-03-18 15:08:00,feed,又审核下来了一批可以走包税物流的东东佑天兰minon和curel都搞定啦ampleur面霜和防晒还有mamakids全系列包括妊娠纹乳液防晒都可以拍啦！❤️​,4350864677718131,0,0, 2
3,Yaomidada,海外,female,Lv.29,155,285,181,2019-03-17 15:21:00,2019-03-18 15:08:05,feed,@Curel珂润爹，请问您什么时候才上新蓝色的水乳套装，不要洗面奶面霜的那种。我真的等了巨巨巨巨巨久了，你要是再不上新我可就去永旺和江汉路送钱了啊@Curel珂润@Curel珂润@Curel珂润​,4350851491721301,0,1, 1
4,靡靡蘼蘼,no location,female,no rank,636,291,735,2019-03-16 21:30:00,2019-03-18 15:08:08,feed,TherealityIsCurel​,4350581844119037,0,1,0
5,本-良品mini,no location,female,no rank,1971,24861,11698,2019-03-15 16:13:00,2019-03-18 15:08:11,feed,花王curel珂润保湿泡沫洗面奶150ml🌺🌺推荐给敏感肌们，弱酸性，无香料，无着色❌超丰富细腻的泡沫，绝对是值得拥有的一款洁面产品，泡沫很绵密✨✨用完脸上不紧绷✅皮肤滑滑的✅不油腻✅很温和✅打出的是立体的泡泡，味道很香，很好闻，用起来非常清爽🍃🍃很舒服，非常适合干皮，敏感肌👍?​展开全文c,4350139697089136,0,1, 1
6,美丽说,no location,female,Lv.41,173,4965801,96050,2019-03-15 11:00:00,2019-03-18 15:08:51,feed,美丽说福利社今日上新🎁狮王White美白牙膏👉399基金兑换🎁Curel珂润润浸保湿面霜👉4022基金兑换（原价5122基金）🎁Ariul心情迷你喷雾👉1388基金兑换（原价1888基金）3月15日14：00限时秒杀兑换哦⚡️#美丽说福利社#下载美丽说App，完成日常任务，即可获取福利社购物基金，赶​展开全文c,4350060902282514,1,0,0
7,小队长不要拖延,no location,male,no rank,219,32086,3052,2019-03-14 15:57:00,2019-03-18 15:08:55,feed,日本花王珂润（Curel）润浸保湿卸妆啫喱130g【京东海囤plus105】参加3件5折，并且可领取99-20券买2个卸妆啫喱，和1件凑单品，叠加1张免运费和99-20到手102.93，买3个直接155元无需免运费券​,4349773458680894,0,4, 5
8,vicky香港美妆店,no location,female,Lv.48,492,52372,19896,2019-03-13 20:41:00,2019-03-18 15:08:59,feed,维密新出了性感炸弹沐浴露248一罐，ipsa，娇韵诗，丽得姿面膜，菲洛嘉面膜，资生堂pk107，wt905，curel面霜，童年时光钙镁锌，娇兰复原蜜50毫升890一支2香港特别行政区·俄亥俄​,4349482533086086,0,2,0
9,伐克团,海外其他,male,Lv.48,468,679724,21245,2016-12-30 21:08:00,2019-03-18 15:09:05,feed,#伐克の功课#珂润水卸妆面霜洁面都有很多妹子敏感肌爱长痘痘不敢乱用护肤品其实入一套珂润就好啦面霜超级好用～🔗【O网页链接】,4349396693101317,0,0, 2
10,艾文韩妆批发代购,no location,female,Lv.31,100,781578,3637,2019-03-13 11:25:00,2019-03-18 15:09:08,feed,日本代购✔️代发💰210👇🏻珂润水乳清爽型👇🏻🌟日本CUREL珂润系列水乳，是日本花王旗下专为敏感肌设计的品牌，弱酸性配方滋润保护肌肤，能让皮肤高保湿。🌟同时无刺激皮肤，365日天天调理，让保湿因子深入到皮下角质层，增强对外部环境对皮肤的刺激。🌟清雅的香味，​展开全文c,4349342552388287,0,3, 1
11,HeathersView,广东深圳,female,Lv.45,1139,4725,4411,2019-03-12 21:14:00,2019-03-18 15:09:16,feed,✨一二月愛用/洗卸產品、粉底新歡、唇油✨//提到的產品//Curel珂潤｜潤浸保濕深層卸粧凝露Cetaphil舒特膚｜全效潔膚乳Dior｜超完美持久柔霧粉底液｜0NLANCOME｜零粉感超持久粉底液｜B-02MISSHA｜CottonContour｜SmokedHazelTONYMOLY｜CrystalBlusher｜05A'Pieu｜PastelBlusher​展开全文c,4349128341117553,0,0, 5
12,西柚子Crazy,其他,female,Lv.44,636,62883,2420,not detected,2019-03-18 15:09:21,feed,回购集合来啦～aesop香芹籽精华／curel面霜／ysl黑鸦片香水💃／hmmasalachai指甲油💅／inglot445口红👄／gracebabi棉签✍🏼／花王定型喷雾🙆／fujiko发蓬蓬粉💁L西柚子Crazy的微博视频​,4348239060974271,3,36, 51
13,Curel珂润,no location,female,Lv.41,146,44569,6397,not detected,2019-03-18 15:09:24,feed,#女王节#生而为女，自然芬芳~无论年龄几许，单身与否，在别人的眼里是成功或失败，都要努力生活，懂得欣赏自己！勇敢自信，我，就是女王！即日起至3月10日，关注珂润官方微博@Curel珂润，转发此条微博并自信晒出你的优点，说说最爱自己的哪个方面或哪些特质，向自己告白，即有机会获得珂润对女王大人​展开全文c,4346924477947485,95,91, 38
14,起个名字都这么麻烦的嘛,湖南湘潭,male,Lv.9,172,188,60,2019-03-04 22:11:00,2019-03-18 15:09:27,feed,今年购物单（按顺序）1.兰蔻小黑瓶（6月前）2.tomford黑管16或083.安热沙SPF503.0.写乐4.Curel保湿5.Mido贝伦赛丽前三期！！！​,4346243637877344,0,8, 1
15,在线磕玉的肥宁罢辽,江苏,female,Lv.24,217,303,336,2019-03-03 21:07:00,2019-03-18 15:09:34,feed,"""Theworldishardandcurel.Weareherenoneknowswhy,andwegononeknowswhither.Wemustbeseethebeautyofquietness.Wemustbeveryhumble.Wemustseethebeautyofquietness.Wemustgothroughlifesoinconspicuously,thatfatedoesnotnoticeus.""_《月亮与六便士》​",4345865138891987,0,0,0
16,夏天天天消灭囤货,上海长宁区,female,Lv.35,312,1983,55,2019-03-03 10:47:00,2019-03-18 15:09:38,feed,#夏天开瓶记#Curel保湿水II。Olay小白伞。两个都没写开瓶有效期​,4345709124060494,0,0,0
17,venniezhangyl,no location,female,no rank,197,407,18364,2019-03-02 15:38:00,2019-03-18 15:09:40,feed,空瓶记录curel卸妆蜜比起卸妆水卸妆油这种卸妆乳更方便干手干脸上抹抹就行卸妆力对我来说也足够了无味用着也还舒服双十一买的两瓶现在开第二瓶了应该会回购​,4345419897548397,0,0, 1
18,捉得紧了,江苏南京,female,Lv.31,161,183,149,2019-02-28 11:57:00,2019-03-18 15:09:45,feed,最爱珂润宝宝了@Curel珂润​,4344639429997448,0,14, 1
19,真实中的谎言,四川成都,male,Lv.48,588,20534,13512,2019-02-27 17:05:00,2019-03-18 15:09:47,feed,触网了，就没有隐私的。。。上两分钟我在微信某群问人一个敏感肌护肤霜可以选什么，一个热心朋友告诉我Curel珂润，结果我的微博信息流里就出现了Curel珂润的广告……完美……到底是谁泄露了我的浏览记录呢？是输入法（微软），还是浏览器（chrome）还是微博……​,4344354670188106,1,12, 2
20,Curel珂润,no location,female,Lv.41,146,44569,6397,not detected,2019-03-18 15:12:04,feed,#珂润颁奖礼#用心呵护，水润相伴，珂润每一款产品都致力于成为肌肤的最佳伴侣~那么，谁是你心目中的【珂润最具人气星品】呢？快用手中的一票，为TA增加人气吧！即日起至2月26日，关注珂润官方微博Curel珂润，转发此条微博提名自己最喜爱的珂润单品并说明推荐理由，就有机会赢得珂润人气好礼！活动时间​展开全文c,4342585403086988,91,97, 38
21,就是李沐沐,山西,female,Lv.33,256,454,468,2019-02-25 22:36:00,2019-03-18 15:12:08,feed,我妈，一个非常敏感皮的人，人生挚爱的护肤品，就是curel了，不管用啥，家里面必须有curel，尤其是洗面奶，已经空瓶了4管了，非常好用。大家看着买吧​,4343713230076748,0,6, 3
22,赤糖糖,山东德州,female,Lv.22,127,140,14,2019-02-23 17:10:00,2019-03-18 15:12:10,feed,Trynewtonerandfacecreams(curel)​,4342906330082107,0,0, 1
23,小黑裙jessica,no location,female,no rank,288,245,1394,2019-02-22 15:06:00,2019-03-18 15:12:12,feed,花王Curel珂润送给小盆友护肤从娃娃抓起​​​,4342512758347527,0,0,0
24,Conan柯南君,广东广州,female,Lv.42,314,1008697,567,not detected,2019-03-18 15:12:15,feed,#Conan防晒打卡#早晨，isdin儿童打卡，curel蜜粉＋vnk唇釉，今天貌似要下雨耶，如果看了紫外线指数我应该会硬防护哈哈～​,4341694667387856,0,216, 130
