,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
0,谢谢你的美好阿七,None,None,None,None,None,None,None,None,comment,有闭口适合哪套？,4341813333163689,None,None,None
1,毛毛猫跑腿屋,None,None,None,None,None,None,None,None,comment,回复@Younge儿会成功:这里,4341813333163689,None,None,None
2,头上夹着蝴蝶结2017,None,None,None,None,None,None,None,None,comment,好弄啊补水修护就好我之前是，就是调理修护好的,4341813333163689,None,None,None
3,北蒙岛的雨季monsoon,None,None,None,None,None,None,None,None,comment,,4341813333163689,None,None,None
4,胡一刀阿,None,None,None,None,None,None,None,None,comment,经常断货,4341813333163689,None,None,None
5,香凝kogi酱,None,None,None,None,None,None,None,None,comment,回复@贵州一缕清风边:500左右一套,4341813333163689,None,None,None
6,香凝kogi酱,None,None,None,None,None,None,None,None,comment,回复@洪瑩Angelina华盛:去到专柜或者有资生堂柜台的地方，告诉他皮肤测试就可以了,4341813333163689,None,None,None
7,蝶语婚礼定制,None,None,None,None,None,None,None,None,comment,看着清清爽爽的，种草,4341813333163689,None,None,None
8,香凝kogi酱,None,None,None,None,None,None,None,None,comment,我真好看！,4341813333163689,None,None,None
9,刘昊然的太阳系女友,None,None,None,None,None,None,None,None,comment,国内怎么买！！,4341813333163689,None,None,None
10,VIVI辣妈爱生活,None,None,None,None,None,None,None,None,comment,期待！,4351198083545750,None,None,None
11,也就这样叻素彩,None,None,None,None,None,None,None,None,comment,敏感肌很好弄啊，我现在都完全好了呀,4351198083545750,None,None,None
12,美丽郑州大姐姐,None,None,None,None,None,None,None,None,comment,有敏感肌就调理吧，，，我的就是调理好的,4351198083545750,None,None,None
13,甜虾杀手,None,None,None,None,None,None,None,None,comment,请立刻引进benefuque,4348618473508779,None,None,None
14,Rosalina_Ben,None,None,None,None,None,None,None,None,comment,请问benifique什么时候进入中国呢,4348618473508779,None,None,None
15,知否知否知否知否-,None,None,None,None,None,None,None,None,comment,这是干嘛的,4348618473508779,None,None,None
16,K-accitane,None,None,None,None,None,None,None,None,comment,请问哪里可以买到？,4348618473508779,None,None,None
17,寧寧愛麗絲,None,None,None,None,None,None,None,None,comment,敏感肌的大爱,4348618473508779,None,None,None
18,刘娜尔多,None,None,None,None,None,None,None,None,comment,,4348618473508779,None,None,None
19,抛弃所有只为你元,None,None,None,None,None,None,None,None,comment,,4346918756678249,None,None,None
20,刘娜尔多,None,None,None,None,None,None,None,None,comment,回复@WuuuuuuuuuW:可是一直没有啊？,4346918756678249,None,None,None
21,WuuuuuuuuuW,None,None,None,None,None,None,None,None,comment,没有凝血酸吗？？,4346918756678249,None,None,None
22,WuuuuuuuuuW,None,None,None,None,None,None,None,None,comment,回复@刘娜尔多:这好像会在屈臣氏卖,4346918756678249,None,None,None
23,FJ_希風,None,None,None,None,None,None,None,None,comment,之前中了一套蓝色还没用呢,4346918756678249,None,None,None
24,yoyoyo柚子啊_,None,None,None,None,None,None,None,None,comment,我喜欢即无刺激又能美白,4346918756678249,None,None,None
25,阿颖今天开心吗,None,None,None,None,None,None,None,None,comment,敏感肌来啦！,4346918756678249,None,None,None
26,刘娜尔多,None,None,None,None,None,None,None,None,comment,这也太美了吧只可惜国内没有卖,4346918756678249,None,None,None
27,寧寧愛麗絲,None,None,None,None,None,None,None,None,comment,敏感肌的最爱,4346918756678249,None,None,None
28,不吃胡萝卜的逗比民谣猫,None,None,None,None,None,None,None,None,comment,,4346918756678249,None,None,None
29,一只羊涵,None,None,None,None,None,None,None,None,comment,回复@晚来天欲雪ys:卧槽，发广告还有理了举报她,4345395469949329,None,None,None
30,晚来天欲雪ys,None,None,None,None,None,None,None,None,comment,回复@一只羊涵:主要他骂完就拉黑我！还没等我看到就把我拉黑了！,4345395469949329,None,None,None
31,一只羊涵,None,None,None,None,None,None,None,None,comment,回复@晚来天欲雪ys:怼她！,4345395469949329,None,None,None
32,晚来天欲雪ys,None,None,None,None,None,None,None,None,comment,回复@周杰伦的称职前女友:哈哈哈哈哈可惜我来晚了没赶上和他对骂！,4345395469949329,None,None,None
33,周杰伦的称职前女友,None,None,None,None,None,None,None,None,comment,,4345395469949329,None,None,None
34,周杰伦的称职前女友,None,None,None,None,None,None,None,None,comment,,4345395469949329,None,None,None
35,晚来天欲雪ys,None,None,None,None,None,None,None,None,comment,回复@RANdiary:她还私信我骂我,4345395469949329,None,None,None
36,RANdiary,None,None,None,None,None,None,None,None,comment,,4345395469949329,None,None,None
37,晚来天欲雪ys,None,None,None,None,None,None,None,None,comment,回复@-故故故故:让我举报你还是你自己滚？？,4345395469949329,None,None,None
38,晚来天欲雪ys,None,None,None,None,None,None,None,None,comment,回复@不会嘟嘟唇的金鱼:让我举报你还是你自己滚？,4345395469949329,None,None,None
39,苏勤奋_,None,None,None,None,None,None,None,None,comment,回复@Amnesiac-sea:哇好滴好滴，谢谢啦~,4340448271157558,None,None,None
40,Amnesiac-sea,None,None,None,None,None,None,None,None,comment,,4340448271157558,None,None,None
41,苏勤奋_,None,None,None,None,None,None,None,None,comment,回复@Amnesiac-sea:想问一下是清爽版嘛！我刚刚买了但不知道真假😢想知道它是什么味道呀，谢谢啦,4340448271157558,None,None,None
42,--雾里拥你,None,None,None,None,None,None,None,None,comment,回复@大可离不开紫薯君:,4340448271157558,None,None,None
43,大可离不开紫薯君,None,None,None,None,None,None,None,None,comment,回复@--雾里拥你:嗯呐！真的好用,4340448271157558,None,None,None
44,--雾里拥你,None,None,None,None,None,None,None,None,comment,,4340448271157558,None,None,None
45,Amnesiac-sea,None,None,None,None,None,None,None,None,comment,回复@大可离不开紫薯君:哈哈哈哈我改天也试一下洁面,4340448271157558,None,None,None
46,大可离不开紫薯君,None,None,None,None,None,None,None,None,comment,回复@Amnesiac-sea:是吧！我之前还用过这系列的洁面，那个洁面也超好用的！对这个系列好感满满！,4340448271157558,None,None,None
47,Amnesiac-sea,None,None,None,None,None,None,None,None,comment,同款dprogram我在用蓝色一套,4340448271157558,None,None,None
48,大可离不开紫薯君,None,None,None,None,None,None,None,None,comment,回复@sayhicl:,4340448271157558,None,None,None
