,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,日本流行每日速报,海外日本,female,Lv.48,3702,2560503,37400,2019-02-20 16:47:00,2019-03-19 14:54:54,feed,因为气温变化，花粉，大气污染，紫外线等或是生活工作压力等等因素。越来越多人的肌肤变得容易敏感，不知道大家是否也有这样的烦恼呢？相较于不易过敏的人，敏感肌可选择的护肤品范围会比较少，一旦使用不适合自己的护肤品的话，皮肤容易感觉红肿刺痛。今天呢，速报酱就专门针对敏感肌的小伙伴给你们​展开全文c,4341813333163689,370,111, 341
1,美博会,no location,female,Lv.26,1698,14710,3865,2019-03-19 09:44:00,2019-03-19 14:55:09,feed,广州美博会#微观美业#资生堂旗下敏感肌护肤品牌“dprogram安肌心语”将于4月原装引进中国市场，与屈臣氏合作，首批产品涵盖基础清洁、平衡、净痘等五大系列。​,4351491348976658,0,0,0
2,中国化妆品网,no location,female,Lv.26,1150,20886,11257,2019-03-18 14:18:00,2019-03-19 14:55:27,feed,【联手屈臣氏资生堂又一重量级品牌引进中国】专注研究亚洲敏感肌肤50年、来自日本资生堂集团旗下又一超高人气护肤品牌——“dprogram安肌心语”正式宣布将于4月原装引进中国市场。此品牌在日本已连续9年成为敏感肌护肤产品领域中的销售冠军。这一次登陆中国市场，将通过与屈臣氏进行全方面战略合作，​展开全文c,4351198083545750,1,3, 1
3,资生堂中国,no location,female,Lv.45,406,226928,8768,not detected,2019-03-19 14:55:46,feed,"Ta，早在上世纪70年代就研发易受损问题肌护肤品；Ta，擅长抚平肌肤的“小脾气”；Ta,坚持守护肌肤屏障功能。Ta就是日本连续9年销量第一——资生堂集团旗下dprogram安肌心语，正式登陆中国大陆市场，致力于安护敏感，养成美肌！#欢迎dprogram安肌心语来到中国#@dprogram安肌心语​​​​",4348618473508779,3,6, 14
4,喋喋不休的狮子座6,上海长宁区,female,Lv.9,166,104,296,2019-03-07 00:41:00,2019-03-19 14:56:06,feed,最近老是被maruちゃん苏到，不管是以前老歌里的声音，还是新专里的搞怪，maruちゃん真是个可爱的人呀*^o^*，资生堂爸爸赶紧找maruちゃん代言dprogram吧，我一定二话不说全套换。#関ジャニ∞#​,4347006232895900,0,0,0
5,资生堂日本watashiplus,no location,female,Lv.4,37,105373,1248,not detected,2019-03-19 14:56:12,feed,为敏感肌设计的美白护肤品诞生了！dprogram是资生堂旗下专为敏感肌设计的护肤·彩妆综合品牌。2019年4月21日，将推出“专为敏感肌设计”的美白护肤系列“WHITENINGCLEAR”。每逢季节变化、生活作息改变，或是在生理期前心情紧张不安的时候，肌肤容易出现干燥、泛红或起痘等问题。d​展开全文c,4346918756678249,6,11, 17
6,晚来天欲雪ys,海外美国,female,Lv.30,18,135,864,2019-03-02 14:01:00,2019-03-19 14:56:35,feed,【资生堂dprogram】买的黄色油痘皮的夏天时用着觉得没感觉秋天觉得正好冬天觉得有些干倒是无功无过我这种敏感肌用着没过敏就是好东西了不会回购了​,4345395469949329,0,24,0
7,SUGI藥局,no location,female,Lv.5,35,21332,197,2019-03-02 12:22:00,2019-03-19 14:56:38,feed,【花粉季节的好选择】日本的花粉季节又开始了，鼻黏膜、眼睛受花粉的连番攻击，发痛发痒，十分难受。大家可以试一下下面的这些对抗花粉的神器，轻轻一喷，即可隔离花粉、细菌等，还你一个清爽的呼吸环境。对柳絮粉尘等都适用哦~1资生堂dprogram隔离花粉尘保湿喷雾2CARTECLINITY可​展开全文c,4345370497017138,4,0, 7
8,功课菌,其他,female,Lv.46,570,570416,11914,2019-02-03 13:46:00,2019-03-19 14:56:41,feed,黛珂白檀眼唇卸，TheGinza卸妆油，欧莱雅SOURCE护发素，瑞妍洁面，资生堂DProgram敏感话题洁面，LAMER浓缩精华，LAMER精粹水，LAMER面霜，ALGENIST唇部精华，资生堂安耐晒，Sepai城市防晒，AWAKE防晒，CharlotteTibury魔法面霜，CPB妆前乳，ZELENS遮瑕笔，兰蔻菁纯粉霜，,4343190636871500,6,0, 19
9,大可离不开紫薯君,其他,female,Lv.43,643,1207,6480,2019-02-16 22:22:00,2019-03-19 14:56:44,feed,资生堂dprogram这个水真的好好用啊，蹭我妈的用了一下真的就擦了水一个小时过去了脸完全不干，图2是我爸妈在厨房地上晾的袜子，草莓太好吃了​,4340448271157558,0,21, 4
