,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,爱购券儿,北京东城区,female,Lv.9,178,389,34564,2019-01-15 22:28:00,2019-03-20 08:21:51,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接券儿库：O网页链接/官方QQ群：8093589199.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气​展开全文c,4328853315042795,0,0,0
1,爱购一姐,北京,female,Lv.9,75,170,29018,2019-01-15 19:31:00,2019-03-20 08:22:12,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气榜：O网页链接官方QQ群：809358919日本curel​展开全文c,4328808788521755,0,0,0
2,yukieiko,海外,female,Lv.21,226,1618,14114,2019-01-15 19:19:00,2019-03-20 08:22:28,feed,【forestdrug🈶️售1xxx日币】支持店头价格海外发货。日本/境外均可发货。也可以来店购买❗️🔻日本Curel珂润保湿滋养面霜，干燥性敏感肌专用！日本cosme大赏面霜第一位🏆，这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身​展开全文c,4328805776514596,0,0,0
3,爱购一姐,北京,female,Lv.9,75,170,29018,2019-01-15 19:18:00,2019-03-20 08:22:49,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气榜：O网页链接官方QQ群：809358919保税仓发Su​展开全文c,4328805352661445,0,0,0
4,爱购一姐,北京,female,Lv.9,75,170,29018,2019-01-15 19:04:00,2019-03-20 08:23:10,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气榜：O网页链接官方QQ群：809358919保税仓发货​展开全文c,4328802060730027,0,0,0
5,花树林,福建宁德,female,Lv.9,146,118,550,2019-01-15 17:18:00,2019-03-20 08:23:32,feed,🇯🇵日本Curel珂润面霜很平价但是贵妇都夸好的面霜，成分在日系面霜中算最简洁的了，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，适合换季，便宜又好用的面霜，保湿性超好👍​,4328775229373634,0,0,0
6,小樱桃梗,其他,female,Lv.27,343,15107,75,2019-01-15 16:56:00,2019-03-20 08:23:53,feed,六款热门卸妆产品测评卸妆是护肤步骤中特别重要的一步，选好适合自己的产品至关重要。选了几款热门、平价、且适合敏感肌的卸妆产品进行测评，都是我自己用过的，一一来说。#卸妆#1️⃣花西子唐宫参花卸妆膏💰149/95g🔸适合肤质：干皮/油皮/混干混油皮🔸卸妆力：🌟🌟🌟🌟🌟​展开全文c,4328769613459633,0,1,2
7,kuma_日本代購,海外其他,female,Lv.40,324,1960,15611,2019-01-15 15:03:00,2019-03-20 08:24:12,feed,♡现货推荐🇯🇵Curel珂润面霜日本cosme大赏面霜第一位👑这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试这款乳霜产品。​,4328741293565566,0,0,0
8,雪之径代购屋,江苏南京,female,Lv.35,172,4616,7671,2019-01-15 14:29:00,2019-03-20 08:24:35,feed,#珂润面霜#现.HUOcurel面霜158包UCOSME大赏第一位，换季必备，敏感肌和干燥肌的福音！curel化妆水Ⅱ号/Ⅲ号128包Ucurel乳液138包U【日本采购】花王Curel/珂润润浸保湿滋养乳霜保湿补水滋润面霜【日本采购】Curel/珂润润浸保湿化妆水II150ml滋润补水护肤【日本采购】Curel/珂润润浸保湿化妆水III150ml滋润补水护肤【日本采购】花王Curel珂润润浸保湿柔和乳液120ml男女补水润肤乳,4328732682612604,1,2,2
9,YIIMIKOO,陕西西安,female,Lv.4,73,1931,1060,2019-01-15 14:04:00,2019-03-20 08:24:56,feed,奕咪蔻～西安Curel珂润乳液120ml日本畅销的敏感肌品牌，针对干燥性敏感肌肤的低刺激性从根本改善干燥敏感肌肤，保湿补水效果好～～～配合滋润保湿成分[浸透保湿功能性神经酰胺、桉树提取物能够更深层的渗透至整个角质层。并形成保护膜抵抗外部刺激、满满的润泽感调整肌肤水分平衡、平滑肌肤纹理​展开全文c,4328726352755044,0,0,0
