,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
0,大弯鹰,None,None,None,None,None,None,None,None,comment,请问在哪里能买正品，淘宝有店吗？代购怕假的啊,4340023522925968,None,None,None
1,猪猪L-,None,None,None,None,None,None,None,None,comment,哪里可以买到正品呢,4340023522925968,None,None,None
2,Curel珂润,None,None,None,None,None,None,None,None,comment,,4340023522925968,None,None,None
3,NaokiGG,None,None,None,None,None,None,None,None,comment,,4340023522925968,None,None,None
4,菠萝菠萝包吖,None,None,None,None,None,None,None,None,comment,本敏感皮我常年用珂润的经典款面霜，25岁以后，除了基础的保湿，更应正视抗初老问题，保湿和紧致护理同时进行，没用过紧致系列，超期待这款面霜，太符合我目前的皮肤需求了,4340023522925968,None,None,None
5,被承包的锦鲤,None,None,None,None,None,None,None,None,comment,回复@-被承包的妞儿_:,4340023522925968,None,None,None
6,被承包的锦鲤,None,None,None,None,None,None,None,None,comment,,4340023522925968,None,None,None
7,咪啦朵啦嘛,None,None,None,None,None,None,None,None,comment,,4340023522925968,None,None,None
8,粉色玫瑰的快乐-,None,None,None,None,None,None,None,None,comment,棒！,4340023522925968,None,None,None
9,Whistle123,None,None,None,None,None,None,None,None,comment,,4340023522925968,None,None,None
10,小豆包peng,None,None,None,None,None,None,None,None,comment,回复@小贝汐兒:是啊好喜欢呢,4339979192777449,None,None,None
11,小豆包peng,None,None,None,None,None,None,None,None,comment,哇塞都是好物啊都好喜欢呀,4339979192777449,None,None,None
12,小小糊涂976,None,None,None,None,None,None,None,None,comment,回复@好好先生0323:对啊，都是好物,4339979192777449,None,None,None
13,小小糊涂976,None,None,None,None,None,None,None,None,comment,好多喜欢的单品怎么办,4339979192777449,None,None,None
14,Wili白白啊,None,None,None,None,None,None,None,None,comment,菌菇水真的炒鸡好用,4339979192777449,None,None,None
15,粉红豹_hero,None,None,None,None,None,None,None,None,comment,回复@文友200712:我也觉得性价比挺高的,4339979192777449,None,None,None
16,粉红豹_hero,None,None,None,None,None,None,None,None,comment,想问一下小姐姐珂润的这个面霜夏天用的话会不会有点油腻呀,4339979192777449,None,None,None
17,麻团9830,None,None,None,None,None,None,None,None,comment,回复@文友200712:我正想试试珂润的,4339979192777449,None,None,None
18,麻团9830,None,None,None,None,None,None,None,None,comment,神仙水真的是超好用，就是贵了点,4339979192777449,None,None,None
19,话不当下,None,None,None,None,None,None,None,None,comment,回复@好好先生0323:是啊，满满的都是干货,4339979192777449,None,None,None
20,抖音客源q,None,None,None,None,None,None,None,None,comment,很不错,4339711218739091,None,None,None
21,YMM客源_o63,None,None,None,None,None,None,None,None,comment,就是喜欢，没办法,4339711218739091,None,None,None
22,_Win好菇凉100,None,None,None,None,None,None,None,None,comment,嗯嗯,4339711218739091,None,None,None
23,喵大叔,None,None,None,None,None,None,None,None,comment,因为够实惠，所以我给老程买了罐，哈哈哈,4339594709406519,None,None,None
24,腾云驾雾小橙子,None,None,None,None,None,None,None,None,comment,"回复@我是jelly:是的,,,,日元换算RMB，30块都不到,,,,,,不输cruels的好用，只能每次去日本的时候背几只回来过过瘾。。。",4339375490236882,None,None,None
25,我是jelly,None,None,None,None,None,None,None,None,comment,回复@腾云驾雾小橙子:因为太便宜了吗,4339375490236882,None,None,None
26,腾云驾雾小橙子,None,None,None,None,None,None,None,None,comment,我也是，花王还有一款绿色的卸妆啫喱，更加便宜大碗，可惜国内没有，太便宜了也没有代购,4339375490236882,None,None,None
27,_热力_,None,None,None,None,None,None,None,None,comment,没券了,4339357114403146,None,None,None
28,暗恋白骨精,None,None,None,None,None,None,None,None,comment,,4339357114403146,None,None,None
29,柔美MOON,None,None,None,None,None,None,None,None,comment,券好难抢啊,4339350622053419,None,None,None
30,岁月ws啊,None,None,None,None,None,None,None,None,comment,有没有珂润的水乳,4339350622053419,None,None,None
31,沈筱清花语洁,None,None,None,None,None,None,None,None,comment,只要乳液可以不,4339317005001734,None,None,None
32,图图今天长头发了嘛,None,None,None,None,None,None,None,None,comment,回复@露露醬团团:嗦嘎,4339285807772206,None,None,None
33,露露醬团团,None,None,None,None,None,None,None,None,comment,回复@图图今天长头发了嘛:眼药水哦，pc眼药水,4339285807772206,None,None,None
34,图图今天长头发了嘛,None,None,None,None,None,None,None,None,comment,露露～图五的彩色盒子是啥,4339285807772206,None,None,None
35,废柴很强大,None,None,None,None,None,None,None,None,comment,@喜马拉雅山的猴子monkey,4339275627921751,None,None,None
36,南门抽风,None,None,None,None,None,None,None,None,comment,税费38,4339275627921751,None,None,None
37,南门抽风,None,None,None,None,None,None,None,None,comment,,4339275627921751,None,None,None
38,抖音客源qw,None,None,None,None,None,None,None,None,comment,喜欢,4339233139803611,None,None,None
39,SUGI藥局,None,None,None,None,None,None,None,None,comment,回复@Sungrail:您好，目前只能在日本店头购买哦,4339204622678687,None,None,None
40,Sungrail,None,None,None,None,None,None,None,None,comment,这个要在哪里下单？,4339204622678687,None,None,None
41,红烧小白兔ve6,None,None,None,None,None,None,None,None,comment,,4339202567451802,None,None,None
42,Mic洛洛9,None,None,None,None,None,None,None,None,comment,喜欢,4339202567451802,None,None,None
43,小小小天黑了,None,None,None,None,None,None,None,None,comment,最烦的就是敏感肌了，一天天的敏感，还好给弄好了,4339202567451802,None,None,None
44,KIKIer-,None,None,None,None,None,None,None,None,comment,,4339198507171495,None,None,None
45,_Win好菇凉q6,None,None,None,None,None,None,None,None,comment,了解,4339198507171495,None,None,None
46,KongPuKe启铿,None,None,None,None,None,None,None,None,comment,不错哦,4339170003012845,None,None,None
47,_Win好菇凉83,None,None,None,None,None,None,None,None,comment,不错哦,4339170003012845,None,None,None
48,_Win好菇凉51,None,None,None,None,None,None,None,None,comment,还行,4338920621896878,None,None,None
49,_Win好菇凉r1,None,None,None,None,None,None,None,None,comment,嘿嘿,4338920621896878,None,None,None
50,Mic洛洛12,None,None,None,None,None,None,None,None,comment,腻害,4338902507036997,None,None,None
51,YMM客源_o10,None,None,None,None,None,None,None,None,comment,真喜欢呢,4338902507036997,None,None,None
52,min_violet,None,None,None,None,None,None,None,None,comment,回复@抓狂的兽嘶:我离40很近啦，准备断崖式衰老,4338835204995314,None,None,None
53,抓狂的兽嘶,None,None,None,None,None,None,None,None,comment,回复@min_violet:我离35.也很近了哈哈,4338835204995314,None,None,None
54,min_violet,None,None,None,None,None,None,None,None,comment,回复@抓狂的兽嘶:嗯，不会囤太多的。主要是天气不好植物没啥好买的，人也年纪大了35是个分界岭，开始又关注自个儿脸了,4338835204995314,None,None,None
55,抓狂的兽嘶,None,None,None,None,None,None,None,None,comment,回复@min_violet:哈哈哈哈，其实还是要精简护肤哈哈,4338835204995314,None,None,None
56,min_violet,None,None,None,None,None,None,None,None,comment,回复@抓狂的兽嘶:嗯，不医美，买护肤品还是蛮好玩的，就跟植物一样，那么多品种,4338835204995314,None,None,None
57,抓狂的兽嘶,None,None,None,None,None,None,None,None,comment,回复@min_violet:哈哈心理作用还是有的～主要医美也是条不归路啊,4338835204995314,None,None,None
58,min_violet,None,None,None,None,None,None,None,None,comment,回复@抓狂的兽嘶:贵的眼霜我也沒用过。我觉得护肤品就那样，要奇效就得医美。我最近用个50几块的德国眼霜用着也蛮好。,4338835204995314,None,None,None
59,抓狂的兽嘶,None,None,None,None,None,None,None,None,comment,回复@min_violet:哈哈哈破就破啦没事的，因为我觉得用起来和资生堂的悦薇没啥区别,4338835204995314,None,None,None
60,min_violet,None,None,None,None,None,None,None,None,comment,回复@抓狂的兽嘶:就是铝管用到后面会破，我最近还在用安娜的活酵母眼霜。购物车放了ordinary的眼精华和一个橄榄树30毫升眼霜。,4338835204995314,None,None,None
