,Unnamed: 0,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
0,0,我-三岁半,None,None,None,None,None,None,None,None,comment,,4317507437223036,None,None,None
1,1,已经成为舅妈的杜老湿,None,None,None,None,None,None,None,None,comment,回复@外卖王者艾米粒耿:我。。。还真不知道要啥。您好，请问你们耿氏集团美洲地区代购业务有终止期么？以后万一有需求还能找你,4317321470273294,None,None,None
2,2,胖年糕大队长,None,None,None,None,None,None,None,None,comment,回复@已经成为舅妈的杜老湿:你要啥啊？重的便宜的不带，其他好说,4317321470273294,None,None,None
3,3,已经成为舅妈的杜老湿,None,None,None,None,None,None,None,None,comment,回复@外卖王者艾米粒耿:夜班啊今天，不然这个点可能我已经睡到连自己是谁都不知道了。。。都代点啥？我看有木有需求,4317321470273294,None,None,None
4,4,胖年糕大队长,None,None,None,None,None,None,None,None,comment,回复@已经成为舅妈的杜老湿:这么晚不睡？需要代购吗老哥？,4317321470273294,None,None,None
5,5,已经成为舅妈的杜老湿,None,None,None,None,None,None,None,None,comment,我想说我没睡，但是这次我实在插不上话。。。超纲了。。。,4317321470273294,None,None,None
6,6,黑家港货店,None,None,None,None,None,None,None,None,comment,,4316530457855952,None,None,None
7,7,橙色番茄酱,None,None,None,None,None,None,None,None,comment,才发现wuli北北在水里漂着,4316037811907633,None,None,None
8,8,嚣萌萌,None,None,None,None,None,None,None,None,comment,回复@橙色番茄酱:那必须的！,4316037811907633,None,None,None
9,9,橙色番茄酱,None,None,None,None,None,None,None,None,comment,这款我家也在用耶，北北妈的推荐还真的不错哒[愛你],4316037811907633,None,None,None
10,10,嚣萌萌,None,None,None,None,None,None,None,None,comment,回复@打你家儿子了:那必须的,4316037811907633,None,None,None
11,11,打你家儿子了,None,None,None,None,None,None,None,None,comment,哈哈哈，小北真可爱,4316037811907633,None,None,None
12,12,十七海千秋,None,None,None,None,None,None,None,None,comment,回复@嚣萌萌:好！！！我抱着手机疯狂刷新,4316037811907633,None,None,None
13,13,嚣萌萌,None,None,None,None,None,None,None,None,comment,回复@十七海千秋:哈哈哈，还有更好玩的，你等我更新一下,4316037811907633,None,None,None
14,14,十七海千秋,None,None,None,None,None,None,None,None,comment,小北的小围脖,4316037811907633,None,None,None
15,15,嚣萌萌,None,None,None,None,None,None,None,None,comment,O网页链接,4316037811907633,None,None,None
16,16,超话社区,None,None,None,None,None,None,None,None,comment,,4315440132033821,None,None,None
17,17,YMM客源_m135,None,None,None,None,None,None,None,None,comment,喜欢呢，么么哒,4314950933663087,None,None,None
18,18,莉lizi小妖,None,None,None,None,None,None,None,None,comment,答案是CBB,4313926445625004,None,None,None
19,19,一只胖胖哒佛系小仙女,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
20,20,丫丫不是咩,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
21,21,爱吃零食的小汤圆,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
22,22,Curel珂润,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
23,23,青岚best,None,None,None,None,None,None,None,None,comment,CBB,4313926445625004,None,None,None
24,24,宛若初生,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
25,25,宛若初生,None,None,None,None,None,None,None,None,comment,答案就是CBB，一直都在用你，始终如一，不会过敏，不会干燥，皮肤也会越来越好！@Curel珂润,4313926445625004,None,None,None
26,26,暴瘦是我-_-,None,None,None,None,None,None,None,None,comment,cbb,4313926445625004,None,None,None
27,27,Cute_宝贝儿,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
28,28,毛毛北海道日本代购,None,None,None,None,None,None,None,None,comment,,4313816701502931,None,None,None
29,29,毛毛北海道日本代购,None,None,None,None,None,None,None,None,comment,,4313816701502931,None,None,None
30,30,毛毛北海道日本代购,None,None,None,None,None,None,None,None,comment,,4313816701502931,None,None,None
31,31,偶谛悻符,None,None,None,None,None,None,None,None,comment,什么时候有货啊？现在链接没有货,4313816701502931,None,None,None
32,32,啊哈大王叫我来巡山,None,None,None,None,None,None,None,None,comment,毛毛～珂润面霜什么时候能有货呢,4313816701502931,None,None,None
33,33,毛毛北海道日本代购,None,None,None,None,None,None,None,None,comment,,4313816701502931,None,None,None
34,34,你jio得西瓜圆不圆,None,None,None,None,None,None,None,None,comment,回复@划算小哥:可以了谢谢,4313609145839340,None,None,None
35,35,划算小哥,None,None,None,None,None,None,None,None,comment,回复@你觉得西瓜圆不圆:如价格不对，就在购物车修改促销方式为99元买5件,4313609145839340,None,None,None
36,36,你jio得西瓜圆不圆,None,None,None,None,None,None,None,None,comment,,4313609145839340,None,None,None
37,37,你一百种样子,None,None,None,None,None,None,None,None,comment,,4313605413196345,None,None,None
38,38,盛圭圭,None,None,None,None,None,None,None,None,comment,回复@JJ2L:请问珂润水还有吗,4313605413196345,None,None,None
39,39,盛圭圭,None,None,None,None,None,None,None,None,comment,回复@o阿哟:请问珂润还有吗,4313605413196345,None,None,None
40,40,盛圭圭,None,None,None,None,None,None,None,None,comment,回复@你一百种样子:请问还有吗,4313605413196345,None,None,None
41,41,四顾无寻a,None,None,None,None,None,None,None,None,comment,回复@胜斯卡呀:都出了。。。,4313605413196345,None,None,None
42,42,小米今天吃饭了吗,None,None,None,None,None,None,None,None,comment,回复@EEEEEEEven:姐妹，出吗,4313605413196345,None,None,None
43,43,小米今天吃饭了吗,None,None,None,None,None,None,None,None,comment,回复@四顾无寻a:姐妹，现在还有吗？,4313605413196345,None,None,None
44,44,时间海ay,None,None,None,None,None,None,None,None,comment,,4313605413196345,None,None,None
45,45,时间海ay,None,None,None,None,None,None,None,None,comment,,4313605413196345,None,None,None
46,46,你的小阿玥,None,None,None,None,None,None,None,None,comment,@Voldy_灰,4313605413196345,None,None,None
47,47,Anki-Ryu,None,None,None,None,None,None,None,None,comment,@歪踢桐,4313521245966465,None,None,None
48,48,啾啾biubiubiu7,None,None,None,None,None,None,None,None,comment,调理哇，我都好了呀,4313521245966465,None,None,None
49,49,Lairs仙儿_,None,None,None,None,None,None,None,None,comment,,4313521245966465,None,None,None
50,50,啾啾biubiubiu7,None,None,None,None,None,None,None,None,comment,调理哇，我都好了呀,4313520679434637,None,None,None
51,51,天空何时那么蓝,None,None,None,None,None,None,None,None,comment,调理啊，我的红血丝都好了一年多了~,4313520679434637,None,None,None
52,52,UU淘世界团购网,None,None,None,None,None,None,None,None,comment,回复@张大薇V:有乳液，你直接问店主,4313438341769863,None,None,None
53,53,张大薇V,None,None,None,None,None,None,None,None,comment,乳液没吗,4313438341769863,None,None,None
54,54,三绝-,None,None,None,None,None,None,None,None,comment,,4313131566727349,None,None,None
55,55,waanni,None,None,None,None,None,None,None,None,comment,回复@ZzYu77:除了味道有点浓以外还是挺好的,4313131566727349,None,None,None
56,56,ZzYu77,None,None,None,None,None,None,None,None,comment,回复@布谷鸟姐妹:真的吗好纠结要不要买,4313131566727349,None,None,None
57,57,ZzYu77,None,None,None,None,None,None,None,None,comment,,4313131566727349,None,None,None
58,58,一枚三文鱼寿司,None,None,None,None,None,None,None,None,comment,回复@Crushed__:真的会头晕！因为它的味道特持久,4313131566727349,None,None,None
59,59,Crushed__,None,None,None,None,None,None,None,None,comment,时隔一年拿出了朋友送的，味道太冲了吧！我在手上试了试，现在好晕…安心继续用我的百雀羚身体乳，这个好闻，闻起来像块糖,4313131566727349,None,None,None
60,60,明月Amaris7,None,None,None,None,None,None,None,None,comment,,4313131566727349,None,None,None
61,61,三绝-,None,None,None,None,None,None,None,None,comment,回复@明月Amaris7:太火的东西我们还是不适合,4313131566727349,None,None,None
62,62,明月Amaris7,None,None,None,None,None,None,None,None,comment,,4313131566727349,None,None,None
63,63,一枚三文鱼寿司,None,None,None,None,None,None,None,None,comment,回复@三绝-:对！！！当初就是看到很多说味道好所以才入的,4313131566727349,None,None,None
64,64,普通美女曾美丽,None,None,None,None,None,None,None,None,comment,回复@普通帅哥万Model:你怎么知道啊嘻嘻,4312864712047150,None,None,None
65,65,普通帅哥万Model,None,None,None,None,None,None,None,None,comment,睡了一天刚刚洗脸吗,4312864712047150,None,None,None
66,66,普通美女曾美丽,None,None,None,None,None,None,None,None,comment,回复@一个无趣博主:我jio得不出泡泡的更好用,4312864712047150,None,None,None
67,67,一个无趣博主,None,None,None,None,None,None,None,None,comment,,4312864712047150,None,None,None
68,68,杏仁不爱巧克力,None,None,None,None,None,None,None,None,comment,回复@巧然妹纸:我觉得舒适度一般，带久了累眼,4312368890126237,None,None,None
69,69,巧然妹纸,None,None,None,None,None,None,None,None,comment,naturali的美瞳好用吗,4312368890126237,None,None,None
70,70,KSSSSSSSSS,None,None,None,None,None,None,None,None,comment,@东北小文青,4351706148048623,None,None,None
71,71,oJOICEo,None,None,None,None,None,None,None,None,comment,@ANNADSW,4351706148048623,None,None,None
72,72,戒熬夜QQ群主,None,None,None,None,None,None,None,None,comment,,4351706148048623,None,None,None
73,73,一拳击倒大象,None,None,None,None,None,None,None,None,comment,@星期二zz,4351706148048623,None,None,None
74,74,微笑的蟹黄堡,None,None,None,None,None,None,None,None,comment,回复@贞木贞木:巧了,4351706148048623,None,None,None
75,75,嬲噻妹妹,None,None,None,None,None,None,None,None,comment,,4351706148048623,None,None,None
76,76,Diz777,None,None,None,None,None,None,None,None,comment,,4351706148048623,None,None,None
77,77,贞木贞木,None,None,None,None,None,None,None,None,comment,@微笑的蟹黄堡,4351706148048623,None,None,None
78,78,千秋前辈我是野田妹喵0,None,None,None,None,None,None,None,None,comment,@穿不了的格子衫,4351706148048623,None,None,None
79,79,saluto,None,None,None,None,None,None,None,None,comment,@jrpart,4351706148048623,None,None,None
