,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
0,湖南板爷_800,None,None,None,None,None,None,None,None,comment,科技技术越来越发达了，这么好的打印技术。,4344650254697741,None,None,None
1,枫劝杰应,None,None,None,None,None,None,None,None,comment,感觉现在生活当中到处都是满满的黑科技,4344650254697741,None,None,None
2,王梦梦3_660,None,None,None,None,None,None,None,None,comment,没想到发动机以及发动机中使用的都是3d打印技术,4344650254697741,None,None,None
3,望前茗办麟,None,None,None,None,None,None,None,None,comment,现在的3d技术已经很强大,4344650254697741,None,None,None
4,财廷羽祥,None,None,None,None,None,None,None,None,comment,3D打印技术这么牛了，可以使用在航空的设备上了,4344650254697741,None,None,None
5,水瓶joeky,None,None,None,None,None,None,None,None,comment,支持3d为我们日常工作带来方便,4344650254697741,None,None,None
6,不好瘦的王同学,None,None,None,None,None,None,None,None,comment,冬干夏油飘过,4344425084084958,None,None,None
7,甜儿仙儿,None,None,None,None,None,None,None,None,comment,回复@毛毛喜欢毛毛雨丶:说的有点动心诶,4344425084084958,None,None,None
8,甜儿仙儿,None,None,None,None,None,None,None,None,comment,回复@毛毛喜欢毛毛雨丶:妈耶！想看这个性感客服,4344425084084958,None,None,None
9,毛毛喜欢毛毛雨丶,None,None,None,None,None,None,None,None,comment,回复@HiiMioo:性感客服，在线推销。,4344425084084958,None,None,None
10,毛毛喜欢毛毛雨丶,None,None,None,None,None,None,None,None,comment,回复@甜儿仙儿:推荐！要不要先来试试,4344425084084958,None,None,None
11,HiiMioo,None,None,None,None,None,None,None,None,comment,,4344425084084958,None,None,None
12,甜儿仙儿,None,None,None,None,None,None,None,None,comment,我是沙漠干皮！,4344425084084958,None,None,None
13,GEbluemini,None,None,None,None,None,None,None,None,comment,马住了！,4344232703180316,None,None,None
14,withchanandkai,None,None,None,None,None,None,None,None,comment,,4344232703180316,None,None,None
15,何晓乐HeXiaole,None,None,None,None,None,None,None,None,comment,回复@谢欣哲:👌,4344094391541532,None,None,None
16,谢欣哲,None,None,None,None,None,None,None,None,comment,,4344094391541532,None,None,None
17,卖车的阿宝,None,None,None,None,None,None,None,None,comment,加油啊！,4344094391541532,None,None,None
18,一劳永毅,None,None,None,None,None,None,None,None,comment,厉害了👍,4344094391541532,None,None,None
19,赵喜歌,None,None,None,None,None,None,None,None,comment,期待神奇北环上演中国速度！！！,4344094391541532,None,None,None
20,何晓乐HeXiaole,None,None,None,None,None,None,None,None,comment,感谢颜老师的鼓励，希望可以早日在纽北与你们会师,4344094391541532,None,None,None
