,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,小L专属空瓶记,其他,female,Lv.4,2,11,37,2019-02-28 17:47:00,2019-03-19 19:22:19,feed,#空瓶记##好用物分享##平价好物推荐##资生堂dprogram##卸妆油#120ml，150RMB左右（两年前价格，现在不知价格）。质地轻薄，卸的也干净。透明无色，基本无味的。也不会油腻，物超所值，很喜欢了。推荐​,4344727530469526,0,0,0
1,大妞日代-微信43891819,海外日本,female,Lv.4,6,142,2164,2019-02-27 12:20:00,2019-03-19 19:22:40,feed,Dprogram资生堂专柜旗下敏感肌专用一个低调却又特别牛的牌子和Theginza一样不出口其他国家‼️只在日本有售‼️针对问题性肌肤的专业调理品牌💛黄色系列（油性肌易起痘）💙蓝色（混合性肌水油不平衡）💗粉色（超干性肌发红敏感）💜紫色（抗衰去皱纹保湿）以上系列蓝色跟紫色分清爽、滋润​,4344282993739825,0,0,0
2,竹内柚子膏,其他,female,Lv.23,177,209,864,2019-02-27 09:00:00,2019-03-19 19:22:58,feed,资生堂d-program敏感肌防晒乳一款让我哭泣的防晒乳涂上感觉自己一下子恢复了往日的白让我在肤色恢复期也能自信出门（这个小奶瓶款适合干皮或者不油也不干的皮，大油田移步软管装）​,4344232703180316,0,2, 1
3,RineVa,海外美国,female,Lv.7,510,217,1232,2019-02-03 13:46:00,2019-03-19 19:23:23,feed,//@功课菌:黛珂白檀眼唇卸，TheGinza卸妆油，欧莱雅SOURCE护发素，瑞妍洁面，资生堂DProgram敏感话题洁面，LAMER浓缩精华，LAMER精粹水，LAMER面霜，ALGENIST唇部精华，资生堂安耐晒，Sepai城市防晒，AWAKE防晒，CharlotteTibury魔法面霜，CPB妆前乳，ZELENS遮瑕笔，兰蔻菁纯粉霜，,4343589792685153,0,0,0
4,Raku桑,广东,male,Lv.9,79,43000,51,2019-02-25 13:10:00,2019-03-19 19:23:45,feed,Raku的日本之旅礼物来啦！还是老规矩：关注+转发并@一位好友就可以抽到一份礼物！💰💰💰一共10份礼物哦，3月12开奖。🎁🎁🎁一等奖：白凤堂腮红刷。二等奖：资生堂dprogram防晒隔离。三等奖：资生堂唇膏codered。四等奖：visee膏状腮红（分别有两位幸运名额）。五等奖：viseer​展开全文c,4343570775790250,978,479, 386
5,小懒分析,山东青岛,female,Lv.9,167,74609,527,2019-02-24 22:01:00,2019-03-19 19:24:06,feed,"优斐斯传明酸精华液丨点评价格：旗舰店价格580元30ml，团购什么的另说，建议选择值得信任的人买哦~全成分：一共11个成分，水、丁二醇、凝血酸、泛醇、辛酰羟肟酸、1,2-戊二醇、1,3-丙二醇、甘草酸二钾、精氨酸、透明质酸钠、EDTA二钠。核心成分解析：最主要的就是传明酸，又称凝血酸、氨甲环酸等​展开全文c",4343342097669566,5,37, 56
6,BoJapan播日本,海外日本,female,Lv.24,1168,177768,1189,2019-02-24 18:00:00,2019-03-19 19:24:29,feed,资生堂的dprogram将于4月21日发售新品，敏感肌肤美白系列。含有两种药用成分，防止痘痘，色斑和暗沉。低刺激配方。化妆水价格为4000日元（不含税），乳液为4300日元（不含税）。还有7天用量的小套装，价格为1200日元（不含税）。敏感肌肤的小伙伴可以先入手这个小套装试试看#BoJapan##播日本#​展开全文c,4343281234589201,1,3, 14
7,叮当爱红茶奶酥不爱铜锣烧,上海浦东新区,female,Lv.31,679,445,1501,2019-02-24 16:32:00,2019-03-19 19:24:49,feed,@空瓶记图1资生堂红腰子精华这个容量的还是俄罗斯代购价格最美好等到我用完了才知道这个是基底精华需要再加其他精华一直以来都是用它然后直接加面霜但是也没有觉得哪里不对图2汉高立式牙膏不知道第几只了家里囤货好像快消灭完了图3资生堂dprogram洗面奶泡沫丰富洗​展开全文c,4343259323003229,0,0, 1
8,我是小叶日本代购,海外日本,female,Lv.4,203,177,280,2019-02-24 15:23:00,2019-03-19 19:25:10,feed,资生堂dprogram系列化妆水和乳液买家秀敏感肌专用系列2日本·东京​,4343241858256060,0,0,0
9,二陈卵子,海外美国,female,Lv.43,3031,580,6485,2019-02-03 13:46:00,2019-03-19 19:25:29,feed,//@功课菌:黛珂白檀眼唇卸，TheGinza卸妆油，欧莱雅SOURCE护发素，瑞妍洁面，资生堂DProgram敏感话题洁面，LAMER浓缩精华，LAMER精粹水，LAMER面霜，ALGENIST唇部精华，资生堂安耐晒，Sepai城市防晒，AWAKE防晒，CharlotteTibury魔法面霜，CPB妆前乳，ZELENS遮瑕笔，兰蔻菁纯粉霜，,4343215651950180,0,0,0
