Index,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,lkjhgf6507003052,海外,female,Lv.4,35,16,22,2019-02-28 19:37:00,2019-03-19 20:37:43,feed,草了一堆etvos的产品但是买不到那个粉状的粉底大概跟粉饼或是散粉的概念很相似吧，也想要那个液态的矿物质粉底，感觉是光泽感稍弱的清透挂底妆产品？还没看到过评测完全布吉岛啊……（想盲撸……）那个高光膏的质地感觉很奇妙诶，皮肤里透出来的光泽（不过在坡又是个​展开全文c,4344755301404930,0,0,0
1,MGlam魅蓝,no location,female,Lv.4,9,184,171,2019-02-28 18:36:00,2019-03-19 20:37:46,feed,"TICKETSforthe2019ShanghaiInternationalLiteraryFestivalgolivetoday...THURSDAY,FEBRUARY28THTopurchaseticketsorjusttoponderovertheprogram,pleasevisitourwebsiteO网页链接thoughwe'dsuggestnotspendingtoolongoncontemplation;headlinersessi​展开全文c",4344739857503589,0,0,0
2,M-ontheBund,no location,male,Lv.16,27,3414,565,2019-02-28 18:30:00,2019-03-19 20:37:50,feed,"TICKETSforthe2019ShanghaiInternationalLiteraryFestivalgolivetoday...THURSDAY,FEBRUARY28THTopurchaseticketsorjusttoponderovertheprogram,pleasevisitourwebsiteO网页链接thoughwe'dsuggestnotspendingtoolongoncontemplation;headlinersessi​展开全文c",4344738528425224,0,0,0
3,小L专属空瓶记,其他,female,Lv.4,2,11,37,2019-02-28 17:47:00,2019-03-19 20:37:52,feed,#空瓶记##好用物分享##平价好物推荐##资生堂dprogram##卸妆油#120ml，150RMB左右（两年前价格，现在不知价格）。质地轻薄，卸的也干净。透明无色，基本无味的。也不会油腻，物超所值，很喜欢了。推荐,4344727530469526,0,0,0
4,uCRobotics-威控睿博,no location,female,Lv.30,1947,19468,1874,2019-02-28 16:46:00,2019-03-19 20:37:56,feed,2月22日，Polymaker正式加入“Ultimaker材料联盟项目”（MaterialsAllianceProgram）。Polymaker总裁罗小帆博士表示：“FFF桌面3D打印依然是所有3D打印技术中最实用和最容易使用的。我们在UltimakerMarketplace提供的三种材料PolyMide™PA6-CF、PolyMide™CoPA和PolyCast™是我们资源里最独特和​展开全文c,4344712187827707,0,0,0
5,uCRobotics-威控睿博,no location,female,Lv.30,1947,19468,1874,2019-02-28 16:42:00,2019-03-19 20:37:58,feed,中国，上海（2019年2月22日）——全球桌面3D打印领军企业Ultimaker今日在上海举办的亚洲3D打印、增材制造展览会(TCT亚洲展)上宣布，Polymaker、Essentium已加入“Ultimaker材料联盟项目”（MaterialsAllianceProgram），此举将进一步为更多行业带来多种FFF桌面3D打印材料和应用选择。,4344711349020678,0,0,0
6,GTGateway,其他,male,Lv.3,33,1,9,2019-02-28 16:16:00,2019-03-19 20:38:02,feed,"⚠️⚠️⚠️USEDOFFSETPRINTINGMACHINEFORSALE⚠️⚠️⚠️Ryobi924Year:2013Max.Format:920x640Min.Format:410x290Max.Speed:16,200sphEquippedwith:--SemiRPC-Preset-Sheetdecurler-Cockingdevice-Hickeypicker-Inkingroller/blanketwashingdevic​展开全文c",4344704847787867,0,0,1
7,XYZ智慧生活,no location,male,Lv.39,46,830591,3632,2019-02-28 12:40:00,2019-03-19 20:38:07,feed,"#3D打印创意赏#【3D打印在航空航天领域的应用！】最近，GE航空宣布成功完成了T901-GE-900涡轮轴发动机原型的测试。这款发动机属于美国陆军改进型涡轮发动机项目（ImprovedTurbineEngineProgram,ITEP）的一部分。测试结果表明，GET901发动机的性能达到甚至超过ITEP项目的要求，已为发动机的制造做​展开全文c",4344650254697741,110,43,110
8,舞蹈团训练营,北京东城区,female,Lv.4,1,33,6851,2019-02-28 06:00:00,2019-03-19 20:38:11,feed,VideoDanceProgramjuillet2014-Ledéménagement(stagedanse)L舞蹈团训练营的微博视频,4344549603553247,0,0,0
9,毛毛喜欢毛毛雨丶,河南,female,Lv.28,134,265,77,2019-02-27 21:45:00,2019-03-19 20:38:16,feed,#干皮水乳##水乳种草##好用物#d-program，干皮超好用，比芙丽芳丝水乳还要好，一整天脸都润润的，赞٩(˃̶͈̀௰˂̶͈́)و,4344425084084958,0,7,0
