,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
0,妖精jessie,None,None,None,None,None,None,None,None,comment,啊，中奖了，感谢,4328837607739181,None,None,None
1,宸洂喏,None,None,None,None,None,None,None,None,comment,我就看看,4328798960321957,None,None,None
2,宸洂喏,None,None,None,None,None,None,None,None,comment,晚安,4328798960321957,None,None,None
3,Tien三三象,None,None,None,None,None,None,None,None,comment,哇羡慕,4328798960321957,None,None,None
4,轶白白,None,None,None,None,None,None,None,None,comment,我不嫉妒,4328798960321957,None,None,None
5,蓝玄子戢,None,None,None,None,None,None,None,None,comment,羡慕啊啊,4328798960321957,None,None,None
6,小惜糯米圆,None,None,None,None,None,None,None,None,comment,回复@田小姐的Q版熊猫筱:,4328798960321957,None,None,None
7,早睡早起的桂桂,None,None,None,None,None,None,None,None,comment,羡慕.....,4328798960321957,None,None,None
8,泡泡甄,None,None,None,None,None,None,None,None,comment,实名羡慕❤️,4328798960321957,None,None,None
9,田小姐的Q版熊猫筱,None,None,None,None,None,None,None,None,comment,我一点儿都不羡慕嫉妒,4328798960321957,None,None,None
10,七月纪望,None,None,None,None,None,None,None,None,comment,优秀,4328798960321957,None,None,None
11,Darling0大零0,None,None,None,None,None,None,None,None,comment,,4328737442873809,None,None,None
12,洛菡_jane,None,None,None,None,None,None,None,None,comment,哇，没有散粉的人飘过,4328658694623384,None,None,None
13,请把Raf还给我,None,None,None,None,None,None,None,None,comment,,4328525060134404,None,None,None
14,请把Raf还给我,None,None,None,None,None,None,None,None,comment,还有我姐推给我的启初,4328525060134404,None,None,None
15,请把Raf还给我,None,None,None,None,None,None,None,None,comment,我只是个穷鬼，我只用大宝,4328525060134404,None,None,None
16,阿咻3月,None,None,None,None,None,None,None,None,comment,回复@喝水撑死的泡泡鱼:冬天用的量大了,4328497784336928,None,None,None
17,喝水撑死的泡泡鱼,None,None,None,None,None,None,None,None,comment,黛珂的乳，快到你不敢相信,4328497784336928,None,None,None
18,和好也不会如初,None,None,None,None,None,None,None,None,comment,我来了，抓住最后的时间哈哈哈哈,4328475697220010,None,None,None
19,静静zhangshan,None,None,None,None,None,None,None,None,comment,None or emoji,4328475697220010,None,None,None
20,COMING么么,None,None,None,None,None,None,None,None,comment,再来一次,4328475697220010,None,None,None
21,即墨若嫣,None,None,None,None,None,None,None,None,comment,希望我被抽到。,4328475697220010,None,None,None
22,拾号先森,None,None,None,None,None,None,None,None,comment,看看我🙋（悄咪咪举个手）,4328475697220010,None,None,None
23,沐歌xback,None,None,None,None,None,None,None,None,comment,努力努力中个奖呀,4328475697220010,None,None,None
24,维他命小姐_紫海,None,None,None,None,None,None,None,None,comment,哇哦,4328475697220010,None,None,None
25,哪里来的阳光,None,None,None,None,None,None,None,None,comment,哈哈哈哈希望可以抽中呀，中奖绝缘体,4328475697220010,None,None,None
26,微博抽奖平台,None,None,None,None,None,None,None,None,comment,,4328475697220010,None,None,None
27,哎哟喂我怕鸡,None,None,None,None,None,None,None,None,comment,转发微博,4328475697220010,None,None,None
28,小孩的糖_,None,None,None,None,None,None,None,None,comment,回复@不取名字了也不行:SANA豆乳洗面奶，不过主要是因为这个之前没用完所以接着用但是绝对安全呀,4328472853706845,None,None,None
29,不取名字了也不行,None,None,None,None,None,None,None,None,comment,所以，现在换啥洗面奶啦？我也是用这个，长粉刺,4328472853706845,None,None,None
30,Mica0000009,None,None,None,None,None,None,None,None,comment,回复@小孩的糖_:我都停用了，皮肤超级不好现在,4328472853706845,None,None,None
31,小孩的糖_,None,None,None,None,None,None,None,None,comment,,4328472853706845,None,None,None
32,Mica0000009,None,None,None,None,None,None,None,None,comment,用了两次满额头爆豆，找一圈原因，原来就是它,4328472853706845,None,None,None
33,小孩的糖_,None,None,None,None,None,None,None,None,comment,回复@青菜炒豆芽:洗面奶让我长痘给你继续用完,4328472853706845,None,None,None
