,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
0,依执,None,None,None,None,None,None,None,None,comment,回复@睡两觉:有趣,4344796606842609,None,None,None
1,睡两觉,None,None,None,None,None,None,None,None,comment,,4344796606842609,None,None,None
2,依执,None,None,None,None,None,None,None,None,comment,回复@睡两觉:哈哈哈哈广东是没有春天吗？~,4344796606842609,None,None,None
3,睡两觉,None,None,None,None,None,None,None,None,comment,,4344796606842609,None,None,None
4,依执,None,None,None,None,None,None,None,None,comment,倩碧黄油反正我这个混油皮是不怎么能用der,4344796606842609,None,None,None
5,饼饼炒能说,None,None,None,None,None,None,None,None,comment,回复@讲道理我很棒的:我用过他的乳液,4344787349685933,None,None,None
6,讲道理我很棒的,None,None,None,None,None,None,None,None,comment,无印良品你值得拥有,4344787349685933,None,None,None
7,夏天的大太阳啦啦啦,None,None,None,None,None,None,None,None,comment,你真是该死的迷人哈哈哈哈哈哈,4344765124193584,None,None,None
8,迟到姑娘-,None,None,None,None,None,None,None,None,comment,,4344762020632787,None,None,None
9,爱长肉的何年何月,None,None,None,None,None,None,None,None,comment,回复@迟到姑娘-:用了这个去买ukiss嘻嘻😁,4344762020632787,None,None,None
10,迟到姑娘-,None,None,None,None,None,None,None,None,comment,,4344762020632787,None,None,None
11,爱长肉的何年何月,None,None,None,None,None,None,None,None,comment,回复@迟到姑娘-:哦哦哦我是开始宣传的时候买的79还是好多哦没关注现在价格,4344762020632787,None,None,None
12,迟到姑娘-,None,None,None,None,None,None,None,None,comment,回复@爱长肉的何年何月:卸妆膏我觉得价格有点虚高了,4344762020632787,None,None,None
13,爱长肉的何年何月,None,None,None,None,None,None,None,None,comment,miki那个名字记不全了卸妆膏我觉得蛮好用的！种草面霜！,4344762020632787,None,None,None
14,迟到姑娘-,None,None,None,None,None,None,None,None,comment,回复@Juice_hoo:嘻嘻嘻信你,4344762020632787,None,None,None
15,Juice_hoo,None,None,None,None,None,None,None,None,comment,绿色是真的好看2333,4344762020632787,None,None,None
16,迟到姑娘-,None,None,None,None,None,None,None,None,comment,回复@噜噜噜噜噜噜噜红绿绿咕噜噜:,4344762020632787,None,None,None
17,噜噜噜噜噜噜噜红绿绿咕噜噜,None,None,None,None,None,None,None,None,comment,None or emoji,4344762020632787,None,None,None
18,sheep炸了,None,None,None,None,None,None,None,None,comment,,4344735344378986,None,None,None
19,LIuulei-,None,None,None,None,None,None,None,None,comment,,4344735344378986,None,None,None
20,五月jn,None,None,None,None,None,None,None,None,comment,elta好用，打算再买一瓶了,4344735344378986,None,None,None
21,就酱吃嗝,None,None,None,None,None,None,None,None,comment,回复@吸血鬼分析师:好的，谢谢！,4344735344378986,None,None,None
