,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,睡两觉,其他,female,Lv.33,85,113,135,2019-02-28 22:21:00,2019-03-20 16:43:54,feed,敲！看到有条评论说洗面奶用freeplus，适合油皮，紧接着又看到有人问混油有什么水乳可推荐，底下说倩碧黄油……这两个我都用两次以上了可我是妥妥的干皮[皱眉]​,4344796606842609,0,5,0
1,饼饼炒能说,辽宁,female,Lv.14,226,206,497,2019-02-28 21:44:00,2019-03-20 16:44:14,feed,近物：吐槽！and红榜！我已经不知道我是什么体质了别人敷完全ok的菌菇水我竟然有问题这么温和的水我竟然敏感我太难过了为什么我的脸会泛红呜呜呜上网查了半天我……再看看三天之后还红吗？要是红我……更难受了，我咋成为敏感体质了​展开全文c,4344787349685933,0,2, 5
2,霓虹团Neon,海外,female,Lv.43,560,198190,19992,2018-12-20 20:10:00,2019-03-20 16:44:30,feed,👏freeplus洗面奶温和干净不紧绷88包非偏远👉🏻O网页链接,4344777598619699,1,0, 1
3,霓虹团Neon,海外,female,Lv.43,560,198190,19992,2018-12-20 20:10:00,2019-03-20 16:44:33,feed,freeplus芙丽芳丝氨基酸洁面网红洁面～直接可以拍团贴👉O网页链接,4344776050273568,0,0,0
4,卖高仿口红化妆品香水找大王,广东珠海,female,Lv.28,16,24558,2603,2019-02-28 20:51:00,2019-03-20 16:44:38,feed,🍓68（1/1）正品【freeplus芙丽芳丝洗面奶】孕妇也可用，不含皂基，温和、洗的干净，特别好用‼️日版Freeplus芙丽芳丝净润氨基酸洗面奶100g，这款洗面奶主要成分是氨基酸类活性剂，ph值在5.5-6.5之间，呈弱酸性，接近肌肤ph值，温和低刺激配方🌟泡沫细腻，易冲洗，洗后完全无紧绷感，含6种天然​展开全文c,4344773860746104,1,0, 1
5,米米米米米兔_,其他,female,Lv.14,36,38,78,2019-02-28 20:35:00,2019-03-20 16:44:40,feed,用回购的数量证明自己有多喜欢~@马戏团买买买@再见野鼬鼠freeplus#二月再见#​,4344769839356985,1,0,0
6,啊啥偷看,广东深圳,female,Lv.32,439,651,295,2019-02-28 20:16:00,2019-03-20 16:44:46,feed,每次%的pop-upkiosk活动我都想参加不止于freeplus还想参加过几天的kate再过几天的咖啡节一个都不想错过kate的老板过来freeplus参加活动的时候就说要和合作没想到这么快然后就发发库存2上海​,4344765124193584,0,1, 5
7,迟到姑娘-,其他,female,Lv.36,375,520,1124,2019-02-28 20:04:00,2019-03-20 16:44:50,feed,#小黄的买买买#💓一月、二月购物记这两个月看起来买得少其实单价贵😂所以这两个月花得比平时多很多！1月养生产品多，2月护肤品为主。p1:百优面霜/注水热水袋/大麦若叶青汁/mikiplum洗脸巾/陶瓷咖啡杯p2:rafra洁面慕斯/红豆薏米粉/猫一味零食/swisse叶绿素/各种颜色的毛线帽p3:acseine防晒/数​展开全文c,4344762020632787,0,10, 7
8,由此岸的摇滚,其他,female,Lv.4,155,38,185,2019-02-28 18:54:00,2019-03-20 16:44:54,feed,给大家推荐一款洗面奶！！freeplus！有点贵但是很好用！​,4344744370700127,0,0, 1
9,You子不誘,海外瑞士,female,Lv.14,82,107,534,2019-02-12 23:05:00,2019-03-20 16:44:58,feed,//@功课菌:可丽金胶原蛋白喷雾，SKII神仙水，资生堂红妍精华，SKII灯泡美白精华，LAMER浓缩精华，珂润面霜，IPSA自律循环乳，资生堂悦薇眼霜，凡士林润唇膏，Freeplus洁面，瑰柏翠护手霜，Sesderma美白身体乳，标婷维生素E乳，克林霉素凝胶，飞利浦钻石电动牙刷,4344742638649363,0,0,0
