Index,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,阿森娜飞走啦,四川成都,female,Lv.45,575,259810,2474,2019-01-09 11:29:00,2019-03-20 11:40:26,feed,我中奖了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！//@sophiafun:恭喜@妖精jessie等3名用户获得【按顺序分别是eltamd或freeplus或dove】。微博官方唯一抽奖工具@微博抽奖平台对本次抽奖进行监督，结果公正有效。公示链接：O微博抽奖平台,4328838794744979,1,22,26
1,sophiafun,广东广州,female,Lv.48,468,327768,3011,2019-01-09 11:29:00,2019-03-20 11:40:55,feed,恭喜@妖精jessie等3名用户获得【按顺序分别是eltamd或freeplus或dove】。微博官方唯一抽奖工具@微博抽奖平台对本次抽奖进行监督，结果公正有效。公示链接：O微博抽奖平台,4328837607739181,2,1,1
2,霓虹团Neon,海外,female,Lv.43,560,198191,19992,2016-08-28 16:24:00,2019-03-20 11:41:17,feed,freeplus洁面敏感皮也可以用的使用感蛮好的味道的话每个人感觉可能不太一样团贴👉O网页链接,4328811027453883,0,0,0
3,小惜糯米圆,安徽合肥,female,Lv.48,666,1004,4088,2019-01-15 18:52:00,2019-03-20 11:41:40,feed,田馥甄感谢金主爸爸让我终于有一张签名照了😭@芙丽芳丝freeplus寄过来包了三层也是很细心了liveinlife​,4328798960321957,0,18,30
4,霓虹团Neon,海外,female,Lv.43,560,198191,19992,2018-12-20 20:10:00,2019-03-20 11:42:02,feed,👏freeplus洗面奶温和干净不紧绷88包非偏远👉🏻O网页链接,4328787430708098,3,0,1
5,逆袭王妃,广东阳江,female,Lv.9,78,149,2692,2019-01-15 17:54:00,2019-03-20 11:42:23,feed,冬天过了大半春天已不远了☘从清洁开始❌拒绝换季过敏不踩雷安全洁面分享👇价格从低到高孕妇敏感肌可用①COW牛乳石碱无添加洁面泡沫56.4💰O网页链接②MUJI无印良品柔和洗面奶56.7💰O网页链接③AHCB5玻尿酸保湿镇静洗面奶79💰O网页链接​展开全文c,4328784330588306,0,0,0
6,请问绵绵在家吗,北京丰台区,female,Lv.40,677,214,4533,2019-01-15 15:08:00,2019-03-20 11:42:44,feed,新开瓶Routine晨洁：万年不变freeplus原液：Tunemakers神经酰胺200水乳：黛珂焕白清爽乳＋滋润水原液：Tunemakers甘草局部平痘消炎精华：OnebyKose美白精华眼霜：兰蔻小黑瓶防晒：ProgramD银瓶(SPF40PA+++)粉底：Ipsa高瓶已见底(已经停产被逼无奈买了新款)定妆：MUF蜜粉,4328742468266249,0,0,0
7,呦呦com,其他,male,Lv.4,1,47,255,2019-01-15 14:59:00,2019-03-20 11:43:00,feed,被称为小CPB，荣誉好高的洗面奶！这个最近断货有点厉害【不输一线大牌的洗面奶】【万年回购】日本freeplus芙丽芳丝的洗面奶，这个有多好用，大家比我了解吧，美丽俏佳人里面也推荐过。感觉比一线大牌洗面奶还要好，氨基酸洁面，人手一支都不足以形容它的受欢迎程度。配合保湿成分，充分保护易干燥肌肤​展开全文c,4328740366345058,0,0,0
8,呦呦com,其他,male,Lv.4,1,47,255,2019-01-15 14:49:00,2019-03-20 11:43:22,feed,被称为小CPB，荣誉好高的洗面奶！这个最近断货有点厉害【不输一线大牌的洗面奶】【万年回购】日本freeplus芙丽芳丝的洗面奶，这个有多好用，大家比我了解吧，美丽俏佳人里面也推荐过。感觉比一线大牌洗面奶还要好，氨基酸洁面，人手一支都不足以形容它的受欢迎程度。配合保湿成分，充分保护易干燥肌肤​展开全文c,4328737699139578,0,0,0
9,Darling0大零0,其他,female,Lv.29,283,150,443,2019-01-15 14:48:00,2019-03-20 11:43:45,feed,💜平价卸妆产品大合集💜18年是我为卸妆操碎心的一年身为浓妆党，还是油痘皮，却不再是城墙皮对卸妆的诉求变得更高：①能卸干净我的全妆②能每天安心使用也不会造成屏障受损③后续不假滑不拔干不闷痘产品直通车👇P2⃣本人肤质情况P3⃣碧柔卸妆精华露P4⃣orbis卸妆露P5⃣freeplus净​展开全文c,4328737442873809,0,1,0
10,卢宛芊,其他,female,Lv.4,17,79,957,2019-01-15 14:11:00,2019-03-20 11:44:05,feed,日本采购直播中🇯🇵本土芙丽芳丝水乳💰480元一套，所有肌肤适用（特别是敏感肌肤）孕妇也可用🍥适用对象：适合于需要补水等人群使用！Freeplus（芙丽芳丝），free意思是没有，plus是添加，freeplus意指“无添加”，没有添加化学成分防腐剂还有香精色素，用来表示产品对肌肤安全，无负担。,4328728298788669,0,0,0
11,小小清Gloria,浙江,female,Lv.9,507,100,198,2019-01-15 12:56:00,2019-03-20 11:44:38,feed,#田馥甄代言芙丽芳丝freeplus##田馥甄#田馥甄#芙丽芳丝##freeplus#好美啊啊啊舍不得用啦，就是包装问题那个化妆棉的盒子有折痕哭泣蓝色简直是仙女的颜色准备就换这个头像了​,4328709286371046,0,0,0
12,白菜的券券,其他,female,Lv.4,189,54,209,2019-01-15 11:06:00,2019-03-20 11:45:00,feed,【商品】日本Freeplus芙丽芳丝净润洗面奶100g深层清洁清爽氨基酸洁面乳霜🎁【在售价】139【券后价】😱134---------------日本Freeplus芙丽芳丝净润洗面奶100g深层清洁清爽氨基酸洁面乳霜---------------【下单方法】👉点击蓝色链接即可领券购买O网页链接,4328681712939982,0,0,0
13,海淘AWM,山东,male,Lv.48,2357,7727,64733,2019-01-15 10:29:00,2019-03-20 11:45:17,feed,#亚马逊自营#【freeplus芙丽芳丝净润洗面霜100g】129元！prime会员免邮费，购买此商品额外立减5%！！O网页链接现在可以看到氨基酸洗面奶中的种子选手带着满满诚意（折扣）向我们走来，它温和不刺激，它清洁无残留，它起泡很丰富，它一度是护肤发烧友的心头爱，快快买起来吧！,4328672208994725,0,0,0
14,NCT沈月,四川,female,Lv.4,74,28,97,2019-01-15 10:24:00,2019-03-20 11:45:39,feed,Freeplus氨基酸洗面奶，主要成分为氨基酸类活性剂，PH值在5.5到6.5之间，与皮肤PH值接近，温和不刺激还有保湿的效果，洗完不会有干涩紧绷的难受感，皮肤会越洗越好哦～💰128,4328670963200422,0,0,0
15,皮酱皮酱pipi,北京海淀区,female,Lv.14,380,221,1931,2019-01-15 09:35:00,2019-03-20 11:46:08,feed,之前买的freeplus的散粉，剩了半盒不想用了，扔了又浪费，被我发现了一个好功能，就是头发油了不想洗头的时候，当作扑扑粉，扑到发根，头发变很蓬，完全不油了​,4328658694623384,0,1,0
16,鲸歌小仙女日代铺子,海外日本,female,Lv.4,168,58,308,2019-01-15 08:45:00,2019-03-20 11:46:34,feed,日本代购日本代购招代理freeplus泡沫洁面洗面奶洗颜料.200ml2大连·五一路,4328646132580679,0,0,0
17,Hazel_Making,辽宁大连,female,Lv.18,177,595,147,2019-01-15 06:32:00,2019-03-20 11:46:54,feed,哈咯大家！好久不见，新年快乐！我的肤质：混油皮～所在地区：加州干燥地区这是我第一次跟大家做年度最爱总结，原本选出了很多产品，但发现内容实在太多，作为年度最爱忍痛割爱筛掉了很多，视频里出现的产品真真都是我精挑细选出来的良心产品，希望在新的一年能对大家护肤护理身体能有所帮助！另外​展开全文c,4328612670477968,0,0,3
18,艺兴的Angel,广东,female,Lv.18,230,1224,474,2019-01-14 21:28:00,2019-03-20 11:49:49,feed,freeplus洗面奶我刚刚用完来试试看,4328533360849643,0,0,0
19,话唠小乖,北京,female,Lv.9,109,69,1250,2019-01-15 00:46:00,2019-03-20 11:50:10,feed,我空瓶的洗面奶...对了还有一个大管悦诗风吟绿茶被我彻彻底底空瓶了！我高中才开始用洗面奶之前一直用洗脸皂我现在家里在用悦诗风吟的小管悦诗风吟绿茶（在上海利用排外婆家的时间匆匆忙忙去专卖店买的一个能带上飞机的洗面奶呜呜）学校用的是洗颜专科（军训的时候把刚开的freeplus弄丢了​展开全文c,4328525521198262,0,0,0
20,请把Raf还给我,其他,male,Lv.9,427,370,954,2019-01-15 00:36:00,2019-03-20 11:50:31,feed,作为一名人尽皆知的直男，珂润和资生堂的乳液挺好的还有freeplus的洗面奶，雷品就是UNO的洗面奶，偏偏我年轻时还用完了好几支,4328525060134404,0,3,0
21,秋花与春月,北京朝阳区,female,Lv.9,407,95,483,2019-01-15 00:18:00,2019-03-20 11:50:51,feed,freeplus的高保湿水，今天用完，好用，保湿，使用感完美，618或者双十一考虑回购。2北京·五棵松,4328518681036710,0,0,0
22,韋君寶貝0607,其他,female,Lv.9,227,1633,8401,2019-01-14 23:47:00,2019-03-20 11:51:13,feed,田馥甄【Hebe敏感肌唯一愛用，限時79折📣】⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀還沒找到適合自己的保養品？Hebe陪妳遇見命中注定！freeplus芙莉思零添加、低刺激的溫和配方，讓妳安心享受每個保養時光😊⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀1/30前人氣品享79折❤️新年起就和肌膚展開穩定關係👍?​展开全文c,4328510698966419,0,0,0
23,渐渐退出微胖界,辽宁大连,female,Lv.13,256,118,1536,2019-01-14 23:21:00,2019-03-20 11:51:35,feed,二宝子23:12总算睡了，15分还说了句梦话，留给老母亲的时间不多了图一，偶然刷到挺喜欢的韩剧机智的监狱生活朴海秀今天结婚了图二，近几年最喜欢的三支洁面之一，快用完了，暂时不打算回购，因为贵，因为穷，开一个回购n次的freeplus，另一个我觉得好用的是资生堂的，记不清什么系列，主题是白​展开全文c,4328504248092748,0,0,0
24,阿咻3月,江苏苏州,female,Lv.34,1175,112,3400,2019-01-14 22:55:00,2019-03-20 11:51:59,feed,freeplus深水用的也太快了吧才一个半月​,4328497784336928,0,2,0
25,莯然一笑warm,江苏南京,female,Lv.9,173,138,545,2019-01-14 22:34:00,2019-03-20 11:52:19,feed,"两款耳熟能详的氨基酸洗面奶这两款洗面奶应该能算得上氨基酸洗面奶的代表了吧，成份什么的大家都有做功课，不多做赘述。就使用感而言，elta泡沫更绵密，freeplus更滑，味道上elta有淡淡的青瓜味道，更舒服，freeplus味道有点奇怪😳，使用效果上都挺干净不拔干。最后elta有个bug,辦，瓶口容易堵着洗​展开全文c",4328492411900580,0,0,0
26,蔡明骏的土豆x,广东,female,Lv.37,338,332,15178,2019-01-14 21:28:00,2019-03-20 11:52:38,feed,张艺兴啊啊啊啊啊啊我要抽奖！！！转发O1月18号晚上10:07抽一人打包送freeplus洗面奶+透真玻尿酸+启初面霜+尤妮佳化妆棉东西不值钱，是个心意过107抽，抽到的人我会视奸属性哦，不符重抽@微博抽奖平台,4328475697220010,1387,433,351
