,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
0,486kkg的妞妞,None,None,None,None,None,None,None,None,comment,今年看过种草最多的爱用护肤,4319710922807454,None,None,None
1,486kkg的妞妞,None,None,None,None,None,None,None,None,comment,今年看过种草最多的爱用护肤,4314336976136075,None,None,None
2,486kkg的妞妞,None,None,None,None,None,None,None,None,comment,今年看过种草最多的爱用护肤,4313091812011591,None,None,None
3,我的碗不平XD,None,None,None,None,None,None,None,None,comment,请问网易考拉上的珂润是正品吗？,4313091812011591,None,None,None
4,Curel珂润,None,None,None,None,None,None,None,None,comment,,4313091812011591,None,None,None
5,Curel珂润,None,None,None,None,None,None,None,None,comment,,4313091812011591,None,None,None
6,如意吃货小当家,None,None,None,None,None,None,None,None,comment,回复@如意吃货小当家:,4313091812011591,None,None,None
7,如意吃货小当家,None,None,None,None,None,None,None,None,comment,,4313091812011591,None,None,None
8,ELEVENCHEN_11,None,None,None,None,None,None,None,None,comment,希望2019能够开心一点@Curel珂润,4313091812011591,None,None,None
9,压着马路找cp,None,None,None,None,None,None,None,None,comment,终于考研结束啦，在这难得的假期里，我没有出去过圣诞节。虽然少了一点点节日的气氛，但是冷冷的冬日窝在被子里也很幸福呢～比起前几年来说，今年最大的圣诞愿望当然是考研过过过啦！愿接下来的一年，诸事顺遂🙏@Curel珂润,4313091812011591,None,None,None
10,Emma王芯馨,None,None,None,None,None,None,None,None,comment,圣诞心愿期末英语考试考出好成绩@Curel珂润,4313091812011591,None,None,None
11,奥特曼小豆豆豆,None,None,None,None,None,None,None,None,comment,2018年，还没开始认真算过，已准备离我们而去。猛地回头，人生三大事都在今年发生了，换了心仪的工作，加入房奴的大军，进入创业的艰难，每件都经历了不一样的艰难最终都顺利挺过来了。希望新年可以组建自己的家庭，坚信会越走越好，越走越平。@江门热门事儿@小豆豆的宝贝@奥特曼小豆,4313091812011591,None,None,None
12,爱吐泡泡的小小小小鱼儿,None,None,None,None,None,None,None,None,comment,只愿家人身体健康，平安幸福，感恩！@Curel珂润,4313091812011591,None,None,None
13,486kkg的妞妞,None,None,None,None,None,None,None,None,comment,今年看过种草最多的爱用护肤,4310945784439776,None,None,None
14,我的碗不平XD,None,None,None,None,None,None,None,None,comment,请问网易考拉上的珂润是正品吗？,4310945784439776,None,None,None
15,Curel珂润,None,None,None,None,None,None,None,None,comment,,4310945784439776,None,None,None
16,Curel珂润,None,None,None,None,None,None,None,None,comment,,4310945784439776,None,None,None
17,如意吃货小当家,None,None,None,None,None,None,None,None,comment,回复@如意吃货小当家:,4310945784439776,None,None,None
18,如意吃货小当家,None,None,None,None,None,None,None,None,comment,,4310945784439776,None,None,None
19,ELEVENCHEN_11,None,None,None,None,None,None,None,None,comment,希望2019能够开心一点@Curel珂润,4310945784439776,None,None,None
20,压着马路找cp,None,None,None,None,None,None,None,None,comment,终于考研结束啦，在这难得的假期里，我没有出去过圣诞节。虽然少了一点点节日的气氛，但是冷冷的冬日窝在被子里也很幸福呢～比起前几年来说，今年最大的圣诞愿望当然是考研过过过啦！愿接下来的一年，诸事顺遂🙏@Curel珂润,4310945784439776,None,None,None
21,Emma王芯馨,None,None,None,None,None,None,None,None,comment,圣诞心愿期末英语考试考出好成绩@Curel珂润,4310945784439776,None,None,None
22,奥特曼小豆豆豆,None,None,None,None,None,None,None,None,comment,2018年，还没开始认真算过，已准备离我们而去。猛地回头，人生三大事都在今年发生了，换了心仪的工作，加入房奴的大军，进入创业的艰难，每件都经历了不一样的艰难最终都顺利挺过来了。希望新年可以组建自己的家庭，坚信会越走越好，越走越平。@江门热门事儿@小豆豆的宝贝@奥特曼小豆,4310945784439776,None,None,None
23,爱吐泡泡的小小小小鱼儿,None,None,None,None,None,None,None,None,comment,只愿家人身体健康，平安幸福，感恩！@Curel珂润,4310945784439776,None,None,None
24,486kkg的妞妞,None,None,None,None,None,None,None,None,comment,今年看过种草最多的爱用护肤,4306037600724599,None,None,None
25,我的碗不平XD,None,None,None,None,None,None,None,None,comment,请问网易考拉上的珂润是正品吗？,4306037600724599,None,None,None
26,Curel珂润,None,None,None,None,None,None,None,None,comment,,4306037600724599,None,None,None
27,Curel珂润,None,None,None,None,None,None,None,None,comment,,4306037600724599,None,None,None
28,如意吃货小当家,None,None,None,None,None,None,None,None,comment,回复@如意吃货小当家:,4306037600724599,None,None,None
29,如意吃货小当家,None,None,None,None,None,None,None,None,comment,,4306037600724599,None,None,None
30,ELEVENCHEN_11,None,None,None,None,None,None,None,None,comment,希望2019能够开心一点@Curel珂润,4306037600724599,None,None,None
31,压着马路找cp,None,None,None,None,None,None,None,None,comment,终于考研结束啦，在这难得的假期里，我没有出去过圣诞节。虽然少了一点点节日的气氛，但是冷冷的冬日窝在被子里也很幸福呢～比起前几年来说，今年最大的圣诞愿望当然是考研过过过啦！愿接下来的一年，诸事顺遂🙏@Curel珂润,4306037600724599,None,None,None
32,Emma王芯馨,None,None,None,None,None,None,None,None,comment,圣诞心愿期末英语考试考出好成绩@Curel珂润,4306037600724599,None,None,None
33,奥特曼小豆豆豆,None,None,None,None,None,None,None,None,comment,2018年，还没开始认真算过，已准备离我们而去。猛地回头，人生三大事都在今年发生了，换了心仪的工作，加入房奴的大军，进入创业的艰难，每件都经历了不一样的艰难最终都顺利挺过来了。希望新年可以组建自己的家庭，坚信会越走越好，越走越平。@江门热门事儿@小豆豆的宝贝@奥特曼小豆,4306037600724599,None,None,None
34,爱吐泡泡的小小小小鱼儿,None,None,None,None,None,None,None,None,comment,只愿家人身体健康，平安幸福，感恩！@Curel珂润,4306037600724599,None,None,None
35,Amy的小奶狗,None,None,None,None,None,None,None,None,comment,美美美美美,4306037600724599,None,None,None
36,486kkg的妞妞,None,None,None,None,None,None,None,None,comment,今年看过种草最多的爱用护肤,4305887432469536,None,None,None
37,我的碗不平XD,None,None,None,None,None,None,None,None,comment,请问网易考拉上的珂润是正品吗？,4305887432469536,None,None,None
38,Curel珂润,None,None,None,None,None,None,None,None,comment,,4305887432469536,None,None,None
39,Curel珂润,None,None,None,None,None,None,None,None,comment,,4305887432469536,None,None,None
40,如意吃货小当家,None,None,None,None,None,None,None,None,comment,回复@如意吃货小当家:,4305887432469536,None,None,None
41,如意吃货小当家,None,None,None,None,None,None,None,None,comment,,4305887432469536,None,None,None
42,ELEVENCHEN_11,None,None,None,None,None,None,None,None,comment,希望2019能够开心一点@Curel珂润,4305887432469536,None,None,None
43,压着马路找cp,None,None,None,None,None,None,None,None,comment,终于考研结束啦，在这难得的假期里，我没有出去过圣诞节。虽然少了一点点节日的气氛，但是冷冷的冬日窝在被子里也很幸福呢～比起前几年来说，今年最大的圣诞愿望当然是考研过过过啦！愿接下来的一年，诸事顺遂🙏@Curel珂润,4305887432469536,None,None,None
44,Emma王芯馨,None,None,None,None,None,None,None,None,comment,圣诞心愿期末英语考试考出好成绩@Curel珂润,4305887432469536,None,None,None
45,奥特曼小豆豆豆,None,None,None,None,None,None,None,None,comment,2018年，还没开始认真算过，已准备离我们而去。猛地回头，人生三大事都在今年发生了，换了心仪的工作，加入房奴的大军，进入创业的艰难，每件都经历了不一样的艰难最终都顺利挺过来了。希望新年可以组建自己的家庭，坚信会越走越好，越走越平。@江门热门事儿@小豆豆的宝贝@奥特曼小豆,4305887432469536,None,None,None
46,爱吐泡泡的小小小小鱼儿,None,None,None,None,None,None,None,None,comment,只愿家人身体健康，平安幸福，感恩！@Curel珂润,4305887432469536,None,None,None
47,Amy的小奶狗,None,None,None,None,None,None,None,None,comment,美美美美美,4305887432469536,None,None,None
48,486kkg的妞妞,None,None,None,None,None,None,None,None,comment,今年看过种草最多的爱用护肤,4300042200124158,None,None,None
49,我的碗不平XD,None,None,None,None,None,None,None,None,comment,请问网易考拉上的珂润是正品吗？,4300042200124158,None,None,None
50,Curel珂润,None,None,None,None,None,None,None,None,comment,,4300042200124158,None,None,None
51,Curel珂润,None,None,None,None,None,None,None,None,comment,,4300042200124158,None,None,None
52,如意吃货小当家,None,None,None,None,None,None,None,None,comment,回复@如意吃货小当家:,4300042200124158,None,None,None
53,如意吃货小当家,None,None,None,None,None,None,None,None,comment,,4300042200124158,None,None,None
54,ELEVENCHEN_11,None,None,None,None,None,None,None,None,comment,希望2019能够开心一点@Curel珂润,4300042200124158,None,None,None
55,压着马路找cp,None,None,None,None,None,None,None,None,comment,终于考研结束啦，在这难得的假期里，我没有出去过圣诞节。虽然少了一点点节日的气氛，但是冷冷的冬日窝在被子里也很幸福呢～比起前几年来说，今年最大的圣诞愿望当然是考研过过过啦！愿接下来的一年，诸事顺遂🙏@Curel珂润,4300042200124158,None,None,None
56,Emma王芯馨,None,None,None,None,None,None,None,None,comment,圣诞心愿期末英语考试考出好成绩@Curel珂润,4300042200124158,None,None,None
57,奥特曼小豆豆豆,None,None,None,None,None,None,None,None,comment,2018年，还没开始认真算过，已准备离我们而去。猛地回头，人生三大事都在今年发生了，换了心仪的工作，加入房奴的大军，进入创业的艰难，每件都经历了不一样的艰难最终都顺利挺过来了。希望新年可以组建自己的家庭，坚信会越走越好，越走越平。@江门热门事儿@小豆豆的宝贝@奥特曼小豆,4300042200124158,None,None,None
58,爱吐泡泡的小小小小鱼儿,None,None,None,None,None,None,None,None,comment,只愿家人身体健康，平安幸福，感恩！@Curel珂润,4300042200124158,None,None,None
59,Amy的小奶狗,None,None,None,None,None,None,None,None,comment,美美美美美,4300042200124158,None,None,None
60,航贺德芝,None,None,None,None,None,None,None,None,comment,敏感肌还好呀，我的现在都已经好了,4300042200124158,None,None,None
61,以波姬管,None,None,None,None,None,None,None,None,comment,敏感肌调理就好啦，我就是调理好的,4300042200124158,None,None,None
62,智恩的爹滴,None,None,None,None,None,None,None,None,comment,敏感肌好弄啊，我早就弄好了,4300042200124158,None,None,None
63,迈着猫步奔夕夕阳,None,None,None,None,None,None,None,None,comment,,4300042200124158,None,None,None
64,喜北少女,None,None,None,None,None,None,None,None,comment,,4300042200124158,None,None,None
65,范范范cclly,None,None,None,None,None,None,None,None,comment,您好，珂润用它您感觉可以增厚角质层吗，慢慢脸颊不泛红吗,4300042200124158,None,None,None
66,Fghklouy敏,None,None,None,None,None,None,None,None,comment,从小就是红血丝，家里人还说没事小孩都这样到现在才治好了,4300042200124158,None,None,None
67,楚芃芃,None,None,None,None,None,None,None,None,comment,我到现在还没发珂润客服真的倒人胃口,4300042200124158,None,None,None
68,桃子日代韩代,None,None,None,None,None,None,None,None,comment,,4300042200124158,None,None,None
69,往哪陶TTTTTH,None,None,None,None,None,None,None,None,comment,回复@甜到窒息啊:官网现在应该也有活动吧,4202022791701878,None,None,None
70,往哪陶TTTTTH,None,None,None,None,None,None,None,None,comment,回复@甜到窒息啊:我没有买，但是有送我小样,4202022791701878,None,None,None
71,甜到窒息啊,None,None,None,None,None,None,None,None,comment,回复@往哪陶TTTTTH:便宜吗！！,4202022791701878,None,None,None
72,往哪陶TTTTTH,None,None,None,None,None,None,None,None,comment,回复@甜到窒息啊:对滴，珂润到我们学校推广的,4202022791701878,None,None,None
73,甜到窒息啊,None,None,None,None,None,None,None,None,comment,天哪！！我学校对面！这个是卖珂润的吗,4202022791701878,None,None,None
74,往哪陶TTTTTH,None,None,None,None,None,None,None,None,comment,回复@甜到窒息啊:官网现在应该也有活动吧,4102590721261535,None,None,None
75,往哪陶TTTTTH,None,None,None,None,None,None,None,None,comment,回复@甜到窒息啊:我没有买，但是有送我小样,4102590721261535,None,None,None
76,甜到窒息啊,None,None,None,None,None,None,None,None,comment,回复@往哪陶TTTTTH:便宜吗！！,4102590721261535,None,None,None
